epoch training validation
0 0.8633 0.8065
1 0.5875 0.5277
2 0.5366 0.5220
3 0.5189 0.5011
4 0.5067 0.4983
5 0.4998 0.4880
6 0.4957 0.4901
7 0.4913 0.4877
8 0.4903 0.4774
9 0.4871 0.4806
10 0.4849 0.4761
11 0.4847 0.4715
12 0.4835 0.4685
13 0.4820 0.4880
14 0.4826 0.4641
15 0.4811 0.4679
16 0.4799 0.4696
17 0.4792 0.4732
18 0.4795 0.4633
19 0.4773 0.4705
20 0.4769 0.4696
21 0.4769 0.4677
22 0.4757 0.4731
23 0.4752 0.4719
24 0.4755 0.4572
25 0.4743 0.4753
26 0.4742 0.4667
27 0.4732 0.4628
28 0.4729 0.4601
29 0.4728 0.4603
30 0.4713 0.4639
31 0.4710 0.4588
32 0.4706 0.4651
33 0.4705 0.4640
34 0.4693 0.4699
35 0.4699 0.4587
36 0.4484 0.4284
37 0.4437 0.4347
38 0.4437 0.4247
39 0.4419 0.4315
40 0.4426 0.4246
41 0.4414 0.4257
42 0.4396 0.4284
43 0.4399 0.4277
44 0.4385 0.4243
45 0.4386 0.4228
46 0.4374 0.4227
47 0.4368 0.4246
48 0.4368 0.4146
49 0.4358 0.4161
50 0.4341 0.4245
51 0.4335 0.4183
52 0.4326 0.4201
53 0.4323 0.4117
54 0.4305 0.4201
55 0.4314 0.4071
56 0.4295 0.4122
57 0.4286 0.4117
58 0.4279 0.4053
59 0.4265 0.4080
60 0.4255 0.4114
61 0.4256 0.4086
62 0.4247 0.3993
63 0.4231 0.4041
64 0.4232 0.4003
65 0.4221 0.4017
66 0.4217 0.3961
67 0.4201 0.3979
68 0.4185 0.4019
69 0.4189 0.3931
70 0.4175 0.3930
71 0.4163 0.3967
72 0.4153 0.3996
73 0.4158 0.3898
74 0.4144 0.3919
75 0.4135 0.3910
76 0.4119 0.3893
77 0.4115 0.3878
78 0.4108 0.3893
79 0.4093 0.3924
80 0.4092 0.3917
81 0.4079 0.3854
82 0.4079 0.3795
83 0.4070 0.3838
84 0.4060 0.3843
85 0.4054 0.3823
86 0.4047 0.3814
87 0.4038 0.3793
88 0.4030 0.3785
89 0.4022 0.3752
90 0.4010 0.3821
91 0.4014 0.3714
92 0.4001 0.3744
93 0.3999 0.3722
94 0.3994 0.3694
95 0.3977 0.3759
96 0.3974 0.3698
97 0.3970 0.3746
98 0.3959 0.3673
99 0.3954 0.3677
