epoch training validation
0 0.7823 0.7874
1 0.5523 0.5267
2 0.5237 0.5177
3 0.5148 0.5133
4 0.5089 0.5180
5 0.5053 0.5321
6 0.5007 0.5090
7 0.4966 0.5115
8 0.4934 0.5102
9 0.4912 0.5045
10 0.4878 0.5107
11 0.4839 0.5039
12 0.4810 0.5010
13 0.4779 0.5112
14 0.4740 0.5109
15 0.4709 0.5104
16 0.4690 0.5031
17 0.4631 0.5099
18 0.4586 0.5117
19 0.4548 0.5078
20 0.4496 0.5137
21 0.4445 0.5115
22 0.4403 0.5131
23 0.4341 0.5154
24 0.4210 0.5080
25 0.4149 0.5074
26 0.4111 0.5082
27 0.4094 0.5086
28 0.4076 0.5096
29 0.4055 0.5102
30 0.4029 0.5104
31 0.4021 0.5107
