epoch training validation
0 [0.9692,2.7653] [0.6665,1.9779]
1 [0.9194,2.7672] [0.6334,1.9694]
2 [0.9161,2.7525] [0.6153,1.9843]
3 [0.8413,2.7094] [0.6046,1.9871]
4 [0.8558,2.6608] [0.5934,1.9956]
5 [0.7771,2.8001] [0.5804,2.0214]
6 [0.7780,2.7203] [0.5703,2.0485]
7 [0.7545,2.7563] [0.5552,2.0654]
8 [0.7162,2.7369] [0.5445,2.0957]
9 [0.6747,2.8067] [0.5330,2.1329]
10 [0.6668,2.8920] [0.5173,2.1925]
11 [0.6192,2.9524] [0.5057,2.2468]
12 [0.6084,3.0307] [0.4904,2.3328]
13 [0.6032,3.0776] [0.4785,2.4204]
14 [0.5617,3.2199] [0.4707,2.5536]
15 [0.5503,3.4276] [0.4596,2.6970]
16 [0.5046,3.5083] [0.4533,2.8741]
17 [0.5074,3.8168] [0.4542,3.0871]
18 [0.4894,4.0676] [0.4415,3.3393]
19 [0.4446,4.4376] [0.4387,3.7099]
20 [0.4504,4.8306] [0.4321,4.1428]
21 [0.4193,5.3368] [0.4347,4.7650]
22 [0.4379,5.9534] [0.4225,5.6113]
23 [0.4097,6.6954] [0.4062,6.9253]
24 [0.4183,8.1129] [0.4082,8.7967]
25 [0.4219,9.8620] [0.4034,11.6488]
26 [0.4065,12.6410] [0.4111,14.8967]
27 [0.4903,15.3749] [0.4519,17.8529]
28 [0.4414,17.8053] [0.4663,21.0063]
29 [0.4960,20.0873] [0.5296,23.5980]
30 [0.4777,21.6286] [0.4919,25.1980]
31 [0.5803,22.3225] [0.5846,25.3908]
32 [0.4794,22.9956] [0.5296,26.3757]
33 [0.5154,22.7636] [0.5639,25.8698]
34 [0.5042,22.1931] [0.5620,25.1035]
35 [0.4842,21.4613] [0.5927,24.2425]
36 [0.4006,20.8442] [0.6525,23.0562]
37 [0.4109,19.6737] [0.6426,22.8967]
38 [0.4476,19.8744] [0.6553,22.7819]
39 [0.4008,19.3531] [0.6332,22.6699]
