sid,tid,fid,ss,et,label,score
0,79,20,3,303,1,0.1956222802400589
0,68,10,2,148,0,0.4507756531238556
0,72,5,2,280,1,0.9183422923088074
0,89,10,3,285,1,0.10110292583703995
0,45,10,2,119,1,0.45053255558013916
0,76,15,2,51,1,0.8040427565574646
0,40,0,2,327,0,0.20771712064743042
0,32,5,3,104,1,0.6479617953300476
0,25,10,2,346,1,0.8920618295669556
0,44,10,2,429,0,0.7857630252838135
0,73,25,2,295,0,0.958695113658905
0,78,20,3,142,1,0.25941625237464905
0,46,10,2,154,1,0.3170918822288513
0,19,20,3,176,1,0.3041951060295105
0,80,0,2,119,1,0.3693854510784149
0,10,5,2,251,1,0.7437364459037781
0,90,15,3,27,0,0.24091535806655884
0,93,15,3,310,1,0.28348731994628906
0,5,0,2,86,1,0.9695321321487427
0,23,25,3,286,1,0.47919949889183044
0,36,10,3,217,0,0.42049169540405273
0,50,25,2,310,1,0.9173661470413208
0,88,25,3,229,1,0.015316426753997803
0,77,5,3,89,1,0.18007595837116241
0,43,15,3,413,1,0.43176233768463135
0,82,25,3,206,1,0.3309082090854645
0,11,10,2,274,0,0.9623778462409973
0,11,20,2,274,0,0.9066260457038879
0,1,10,3,65,0,0.4753970801830292
0,75,5,2,348,0,0.8870421051979065
0,57,15,3,155,1,0.5276840329170227
0,16,15,2,385,1,0.927552342414856
0,36,5,3,217,0,0.4320444166660309
0,49,15,3,251,0,0.4477992057800293
0,63,25,2,38,1,0.6266863346099854
0,75,0,2,348,0,0.7839595079421997
0,61,5,2,269,1,0.15022127330303192
0,87,0,3,195,0,0.012750445865094662
0,48,5,3,29,1,0.8683817982673645
0,11,5,2,274,0,0.9715102314949036
0,76,10,2,51,1,0.8192839026451111
0,15,15,2,371,1,0.3848319351673126
0,60,5,2,251,1,0.34872734546661377
0,34,5,2,157,1,0.6833149194717407
0,13,20,3,308,1,0.30770817399024963
0,66,0,2,77,1,0.1266041249036789
0,13,25,3,308,1,0.3138006031513214
0,24,0,3,325,1,0.27119070291519165
0,87,20,3,195,0,0.19608625769615173
0,86,5,3,174,0,0.021041177213191986
0,30,0,2,46,1,0.6618673801422119
0,20,25,3,193,0,0.39453914761543274
0,30,20,2,46,1,0.526129961013794
0,74,15,3,312,1,0.44427892565727234
0,60,10,2,251,1,0.39557451009750366
0,40,25,2,327,0,0.6168884038925171
0,24,20,3,325,1,0.6528620719909668
0,27,10,3,366,1,0.39929190278053284
0,54,0,2,99,1,0.6951448917388916
0,5,20,2,86,1,0.9688982963562012
0,45,20,2,119,1,0.3428921699523926
0,74,10,3,312,1,0.5910192728042603
0,85,15,2,107,1,0.4459582567214966
0,41,10,2,344,0,0.89080411195755
0,55,10,2,119,1,0.717536211013794
0,80,5,2,119,1,0.5872589349746704
0,70,0,2,181,0,0.8548898100852966
0,81,10,2,183,1,0.7544422745704651
0,9,0,2,230,1,0.9074176549911499
0,50,0,2,310,1,0.7440269589424133
0,57,25,3,155,1,0.3433076739311218
0,25,25,2,346,1,0.7474183440208435
0,46,5,2,154,1,0.12121500819921494
0,72,25,2,280,1,0.9384770393371582
0,75,15,2,348,0,0.8818568587303162
0,90,10,3,27,0,0.2632017135620117
0,78,10,3,142,1,0.2947307527065277
0,68,15,2,148,0,0.3627094328403473
0,59,10,2,235,1,0.19713366031646729
0,92,10,3,82,0,0.28990036249160767
0,10,0,2,251,1,0.8990469574928284
0,91,20,3,62,0,0.39223840832710266
0,4,25,2,38,1,0.9657087922096252
0,0,0,3,28,1,0.3575499951839447
0,45,5,2,119,1,0.6442425847053528
0,64,20,2,374,1,0.12269113957881927
0,24,15,3,325,1,0.5055429339408875
0,65,5,2,59,1,0.7557474970817566
0,54,10,2,99,1,0.7538177967071533
0,66,10,2,77,1,0.20609407126903534
0,26,25,2,30,1,0.7512386441230774
0,13,15,3,308,1,0.4348253905773163
0,33,15,2,120,1,0.8695837259292603
0,76,5,2,51,1,0.48954901099205017
0,4,10,2,38,1,0.7531556487083435
0,40,5,2,327,0,0.2448636293411255
0,52,0,2,374,1,0.9193994402885437
0,63,10,2,38,1,0.43408992886543274
0,32,0,3,104,1,0.6259657144546509
0,25,5,2,346,1,0.9220271706581116
0,40,10,2,327,0,0.43168017268180847
0,73,10,2,295,0,0.9073367118835449
0,3,10,3,306,1,0.8382510542869568
0,3,15,3,306,1,0.8040245771408081
0,1,0,3,65,0,0.5103838443756104
0,8,5,2,208,1,0.9768203496932983
0,71,20,3,200,0,0.1586865931749344
0,65,0,2,59,1,0.8373843431472778
0,42,10,2,385,1,0.6322513818740845
0,78,15,3,142,1,0.2698031961917877
0,22,15,2,250,1,0.41766417026519775
0,38,20,3,278,1,0.5584685802459717
0,41,25,2,344,0,0.7301660180091858
0,2,25,3,156,0,0.3815670609474182
0,28,5,2,404,1,0.42294347286224365
0,27,20,3,366,1,0.8971907496452332
0,9,25,2,230,1,0.8214111328125
0,1,15,3,65,0,0.45460474491119385
0,91,5,3,62,0,0.3873954117298126
0,58,10,2,179,0,0.23360879719257355
0,9,15,2,230,1,0.8907842636108398
0,17,20,2,416,1,0.9167389869689941
0,88,5,3,229,1,0.011917054653167725
0,22,20,2,250,1,0.44690072536468506
0,10,20,2,251,1,0.8762151002883911
0,65,15,2,59,1,0.6748921275138855
0,59,25,2,235,1,0.17555494606494904
0,7,15,2,193,1,0.8341394066810608
0,56,5,2,135,1,0.57637619972229
0,86,25,3,174,0,0.026199130341410637
0,79,15,3,303,1,0.31921517848968506
0,70,15,2,181,0,0.32618916034698486
0,68,0,2,148,0,0.27860063314437866
0,80,10,2,119,1,0.801837146282196
0,56,15,2,135,1,0.672966480255127
0,1,20,3,65,0,0.5460976958274841
0,91,10,3,62,0,0.6055254936218262
0,78,5,3,142,1,0.5984663963317871
0,82,15,3,206,1,0.190247043967247
0,84,0,2,374,1,0.5363693833351135
0,43,20,3,413,1,0.4471927881240845
0,25,20,2,346,1,0.7907193303108215
0,12,15,2,289,1,0.4970284104347229
0,50,5,2,310,1,0.878507673740387
0,58,15,2,179,0,0.30862298607826233
0,64,0,2,374,1,0.43515920639038086
0,89,20,3,285,1,0.024337459355592728
0,29,0,2,426,1,0.9468036890029907
0,82,20,3,206,1,0.3366410732269287
0,87,25,3,195,0,0.08110126107931137
0,31,15,2,88,1,0.7259167432785034
0,22,0,2,250,1,0.5458230376243591
0,81,15,2,183,1,0.9204750657081604
0,53,10,2,393,1,0.9416463971138
0,65,20,2,59,1,0.7957065105438232
0,69,0,2,14,1,0.6637343764305115
0,1,5,3,65,0,0.6198042631149292
0,36,25,3,217,0,0.15873460471630096
0,54,20,2,99,1,0.5046201944351196
0,30,15,2,46,1,0.6321142911911011
0,2,0,3,156,0,0.4804643392562866
0,45,0,2,119,1,0.5609174370765686
0,75,10,2,348,0,0.8190604448318481
0,6,15,2,170,1,0.9079769849777222
0,72,10,2,280,1,0.926715075969696
0,56,20,2,135,1,0.6279934048652649
0,53,0,2,393,1,0.8900945782661438
0,67,25,2,116,0,0.17820167541503906
0,92,25,3,82,0,0.2633092999458313
0,66,20,2,77,1,0.09478782117366791
0,38,15,3,278,1,0.3427204489707947
0,24,25,3,325,1,0.43245840072631836
0,89,5,3,285,1,0.047841545194387436
0,7,5,2,193,1,0.7725301384925842
0,67,10,2,116,0,0.17305101454257965
0,82,5,3,206,1,0.10535779595375061
0,14,25,2,337,0,0.7481748461723328
0,55,25,2,119,1,0.6649832129478455
0,10,10,2,251,1,0.5827378630638123
0,3,25,3,306,1,0.7541779279708862
0,83,10,2,241,1,0.27507948875427246
0,27,25,3,366,1,0.5788959860801697
0,59,20,2,235,1,0.21203768253326416
0,51,20,2,355,1,0.5233550071716309
0,12,5,2,289,1,0.6176986694335938
0,0,10,3,28,1,0.3835238218307495
0,67,20,2,116,0,0.19485506415367126
0,32,15,3,104,1,0.2941485345363617
0,37,25,2,266,1,0.5504319071769714
0,75,25,2,348,0,0.9353541731834412
0,81,0,2,183,1,0.8789120316505432
0,18,15,2,435,1,0.565891683101654
0,6,0,2,170,1,0.9431957006454468
0,66,15,2,77,1,0.22555086016654968
0,22,25,2,250,1,0.174671933054924
0,45,15,2,119,1,0.3511524498462677
0,6,25,2,170,1,0.9493295550346375
0,19,5,3,176,1,0.39643532037734985
0,3,20,3,306,1,0.7439528703689575
0,35,20,2,17,1,0.9392275810241699
0,48,25,3,29,1,0.6978722214698792
0,21,10,2,211,1,0.908221960067749
0,93,5,3,310,1,0.3043074309825897
0,0,20,3,28,1,0.28419220447540283
0,73,20,2,295,0,0.8953229188919067
0,55,15,2,119,1,0.7605153918266296
0,21,20,2,211,1,0.5773619413375854
0,26,0,2,30,1,0.9325063228607178
0,64,10,2,374,1,0.688518762588501
0,37,5,2,266,1,0.49263912439346313
0,86,10,3,174,0,0.06573094427585602
0,70,20,2,181,0,0.5899189710617065
0,46,15,2,154,1,0.2602533996105194
0,48,0,3,29,1,0.9130685329437256
0,18,0,2,435,1,0.8978592157363892
0,69,20,2,14,1,0.4046812951564789
0,3,0,3,306,1,0.866904616355896
0,8,15,2,208,1,0.7664784789085388
0,17,0,2,416,1,0.8519577980041504
0,85,25,2,107,1,0.2037801444530487
0,35,5,2,17,1,0.9115586280822754
0,8,20,2,208,1,0.9214126467704773
0,5,15,2,86,1,0.9223337769508362
0,90,25,3,27,0,0.29326924681663513
0,28,15,2,404,1,0.7577811479568481
0,36,0,3,217,0,0.2488430291414261
0,91,15,3,62,0,0.4659048318862915
0,32,10,3,104,1,0.6572605967521667
0,13,5,3,308,1,0.518495500087738
0,29,5,2,426,1,0.7742281556129456
0,71,0,3,200,0,0.25522369146347046
0,80,25,2,119,1,0.9026455283164978
0,49,0,3,251,0,0.3615610897541046
0,19,25,3,176,1,0.22759203612804413
0,2,10,3,156,0,0.38400667905807495
0,58,20,2,179,0,0.4683306813240051
0,26,5,2,30,1,0.9167451858520508
0,42,20,2,385,1,0.3486872911453247
0,74,25,3,312,1,0.4638270139694214
0,76,20,2,51,1,0.8517767190933228
0,7,20,2,193,1,0.8700370788574219
0,69,5,2,14,1,0.5150625705718994
0,87,15,3,195,0,0.069064661860466
0,67,15,2,116,0,0.17946867644786835
0,49,5,3,251,0,0.6353976130485535
0,90,0,3,27,0,0.402273565530777
0,6,10,2,170,1,0.9079842567443848
0,41,15,2,344,0,0.9250301122665405
0,60,0,2,251,1,0.27880921959877014
0,49,20,3,251,0,0.41799554228782654
0,47,10,2,177,1,0.8564610481262207
0,41,0,2,344,0,0.6787595748901367
0,61,15,2,269,1,0.19781622290611267
0,61,25,2,269,1,0.14614209532737732
0,91,0,3,62,0,0.20021000504493713
0,58,0,2,179,0,0.24825923144817352
0,47,20,2,177,1,0.85906583070755
0,0,5,3,28,1,0.3921140432357788
0,56,25,2,135,1,0.5380927920341492
0,83,5,2,241,1,0.16829954087734222
0,31,10,2,88,1,0.872351884841919
0,52,20,2,374,1,0.8251217007637024
0,8,0,2,208,1,0.9473564028739929
0,49,10,3,251,0,0.6436642408370972
0,43,10,3,413,1,0.3761991262435913
0,16,0,2,385,1,0.9027783274650574
0,27,15,3,366,1,0.6097949743270874
0,60,25,2,251,1,0.19403687119483948
0,82,0,3,206,1,0.1659282147884369
0,56,10,2,135,1,0.5340362191200256
0,15,20,2,371,1,0.5924351215362549
0,72,20,2,280,1,0.9070659875869751
0,93,20,3,310,1,0.29068422317504883
0,39,5,3,308,1,0.20622891187667847
0,62,0,2,342,1,0.8120132088661194
0,50,10,2,310,1,0.8951958417892456
0,17,10,2,416,1,0.817570686340332
0,16,20,2,385,1,0.9338737726211548
0,64,5,2,374,1,0.5304838418960571
0,11,25,2,274,0,0.9329686164855957
0,34,20,2,157,1,0.41856175661087036
0,9,5,2,230,1,0.8159403800964355
0,35,15,2,17,1,0.9720267057418823
0,38,0,3,278,1,0.4746056795120239
0,64,25,2,374,1,0.057676855474710464
0,83,20,2,241,1,0.39656880497932434
0,46,0,2,154,1,0.26393982768058777
0,69,25,2,14,1,0.3490190804004669
0,27,0,3,366,1,0.6875844597816467
0,40,20,2,327,0,0.2053801566362381
0,68,20,2,148,0,0.1807439774274826
0,84,25,2,374,1,0.524878203868866
0,54,15,2,99,1,0.8207665085792542
0,24,10,3,325,1,0.2726176977157593
0,28,25,2,404,1,0.8986911773681641
0,11,15,2,274,0,0.929111123085022
0,46,20,2,154,1,0.16870519518852234
0,12,25,2,289,1,0.5602806806564331
0,59,15,2,235,1,0.22725066542625427
0,23,15,3,286,1,0.45983168482780457
0,25,15,2,346,1,0.7734360098838806
0,5,25,2,86,1,0.8227516412734985
0,65,10,2,59,1,0.779886782169342
0,39,10,3,308,1,0.36143118143081665
0,36,20,3,217,0,0.16106516122817993
0,41,5,2,344,0,0.86079341173172
0,44,15,2,429,0,0.6973270177841187
0,53,5,2,393,1,0.8926925659179688
0,56,0,2,135,1,0.6026757955551147
0,84,5,2,374,1,0.3261893689632416
0,83,15,2,241,1,0.7069980502128601
0,4,20,2,38,1,0.9485204815864563
0,66,5,2,77,1,0.3352939784526825
0,7,0,2,193,1,0.8623821139335632
0,59,0,2,235,1,0.2263946235179901
0,46,25,2,154,1,0.21728530526161194
0,71,25,3,200,0,0.12425832450389862
0,51,10,2,355,1,0.7353093028068542
0,93,10,3,310,1,0.30546507239341736
0,86,20,3,174,0,0.05249456316232681
0,52,10,2,374,1,0.9183469414710999
0,29,15,2,426,1,0.8419560194015503
0,63,5,2,38,1,0.8363887667655945
0,57,10,3,155,1,0.330100417137146
0,35,0,2,17,1,0.9259294867515564
0,38,25,3,278,1,0.4344412386417389
