epoch training validation
0 [1.4104,3.4205] [0.7354,1.9889]
1 [1.3432,3.3726] [0.7190,1.9600]
2 [1.2083,3.3580] [0.6858,1.9403]
3 [1.1760,3.3201] [0.6869,1.9457]
4 [1.0681,3.1816] [0.6853,1.9332]
5 [1.0476,3.1828] [0.6882,1.9325]
6 [0.9986,3.1459] [0.6967,1.9263]
7 [0.9600,3.0824] [0.6879,1.9083]
8 [0.9316,3.0268] [0.6861,1.8968]
9 [0.9112,2.9848] [0.6814,1.8967]
10 [0.8395,2.8582] [0.6730,1.8756]
11 [0.8273,2.9350] [0.6718,1.8754]
12 [0.7867,2.8867] [0.6685,1.8736]
13 [0.7556,2.8458] [0.6563,1.8681]
14 [0.7760,2.8929] [0.6503,1.8563]
15 [0.7658,2.8035] [0.6419,1.8628]
16 [0.7194,2.7840] [0.6345,1.8548]
17 [0.7450,2.6998] [0.6327,1.8550]
18 [0.7025,2.7544] [0.6194,1.8588]
19 [0.6973,2.8052] [0.6156,1.8587]
20 [0.6735,2.7364] [0.6064,1.8586]
21 [0.6588,2.7176] [0.5937,1.8683]
22 [0.6548,2.7743] [0.5888,1.8615]
23 [0.6411,2.7052] [0.5807,1.8488]
24 [0.6005,2.6452] [0.5802,1.8469]
25 [0.6091,2.7089] [0.5643,1.8570]
26 [0.5844,2.6622] [0.5556,1.8647]
27 [0.5778,2.6616] [0.5456,1.8507]
28 [0.5781,2.5940] [0.5387,1.8452]
29 [0.5512,2.6587] [0.5209,1.8500]
30 [0.5305,2.6759] [0.5053,1.8371]
31 [0.4986,2.6139] [0.4971,1.8358]
32 [0.4984,2.6248] [0.4817,1.8330]
33 [0.4742,2.5965] [0.4739,1.8363]
34 [0.4424,2.6336] [0.4698,1.8417]
35 [0.4394,2.6184] [0.4567,1.8421]
36 [0.4162,2.6675] [0.4474,1.8437]
37 [0.4143,2.6067] [0.4696,1.8430]
38 [0.3734,2.5975] [0.4525,1.8491]
39 [0.3502,2.6551] [0.4412,1.8321]
40 [0.3418,2.5904] [0.4820,1.8255]
41 [0.3000,2.5789] [0.4540,1.8156]
42 [0.2882,2.5936] [0.4626,1.8123]
43 [0.2896,2.6240] [0.4697,1.8077]
44 [0.2665,2.5863] [0.4901,1.8051]
45 [0.2434,2.6360] [0.5294,1.8018]
46 [0.2288,2.6841] [0.5071,1.7944]
47 [0.2229,2.6461] [0.5495,1.7958]
48 [0.2140,2.5948] [0.5461,1.7926]
49 [0.1942,2.6546] [0.6795,1.7981]
50 [0.1816,2.6774] [0.6035,1.7882]
51 [0.1387,2.6507] [0.5957,1.7856]
52 [0.1644,2.7923] [0.5900,1.7859]
53 [0.1467,2.6845] [0.5937,1.7861]
54 [0.1395,2.7061] [0.5978,1.7862]
55 [0.1426,2.7174] [0.6008,1.7853]
56 [0.1418,2.6808] [0.6032,1.7842]
57 [0.1460,2.6775] [0.6141,1.7860]
58 [0.1297,2.7378] [0.6109,1.7841]
