sid,tid,fid,ss,et,label,score
0,79,20,3,303,1,0.5561197400093079
0,68,10,2,148,0,0.728769838809967
0,72,5,2,280,1,0.9987753033638
0,89,10,3,285,1,0.04050713777542114
0,45,10,2,119,1,0.9310568571090698
0,76,15,2,51,1,0.9879989624023438
0,40,0,2,327,0,0.8910518288612366
0,32,5,3,104,1,0.9207391142845154
0,25,10,2,346,1,0.9954426288604736
0,44,10,2,429,0,0.9979791045188904
0,73,25,2,295,0,0.9990465044975281
0,78,20,3,142,1,0.7479290962219238
0,46,10,2,154,1,0.6795812845230103
0,19,20,3,176,1,0.7236973643302917
0,80,0,2,119,1,0.8373874425888062
0,10,5,2,251,1,0.9839732646942139
0,90,15,3,27,0,0.7273503541946411
0,93,15,3,310,1,0.48396146297454834
0,5,0,2,86,1,0.9995917677879333
0,23,25,3,286,1,0.934032142162323
0,36,10,3,217,0,0.9409000873565674
0,50,25,2,310,1,0.9917466640472412
0,88,25,3,229,1,0.0003550800902303308
0,77,5,3,89,1,0.6407544016838074
0,43,15,3,413,1,0.7066733241081238
0,82,25,3,206,1,0.6801308989524841
0,11,10,2,274,0,0.9987530708312988
0,11,20,2,274,0,0.9989782571792603
0,1,10,3,65,0,0.884119987487793
0,75,5,2,348,0,0.9954835176467896
0,57,15,3,155,1,0.8773836493492126
0,16,15,2,385,1,0.9975228905677795
0,36,5,3,217,0,0.9454671144485474
0,49,15,3,251,0,0.5392400622367859
0,63,25,2,38,1,0.9580264687538147
0,75,0,2,348,0,0.9848131537437439
0,61,5,2,269,1,0.07628168910741806
0,87,0,3,195,0,0.0006690567824989557
0,48,5,3,29,1,0.9973262548446655
0,11,5,2,274,0,0.9994444251060486
0,76,10,2,51,1,0.9914862513542175
0,15,15,2,371,1,0.938896119594574
0,60,5,2,251,1,0.7795836925506592
0,34,5,2,157,1,0.7919538617134094
0,13,20,3,308,1,0.2883801758289337
0,66,0,2,77,1,0.06766439974308014
0,13,25,3,308,1,0.29997876286506653
0,24,0,3,325,1,0.24138115346431732
0,87,20,3,195,0,0.09123805165290833
0,86,5,3,174,0,0.0012555657885968685
0,30,0,2,46,1,0.9296368360519409
0,20,25,3,193,0,0.6506927013397217
0,30,20,2,46,1,0.552610456943512
0,74,15,3,312,1,0.9364126920700073
0,60,10,2,251,1,0.49815306067466736
0,40,25,2,327,0,0.9047837853431702
0,24,20,3,325,1,0.9135695099830627
0,27,10,3,366,1,0.9646141529083252
0,54,0,2,99,1,0.9796037077903748
0,5,20,2,86,1,0.9997114539146423
0,45,20,2,119,1,0.9828207492828369
0,74,10,3,312,1,0.9693069458007812
0,85,15,2,107,1,0.14131119847297668
0,41,10,2,344,0,0.9942448735237122
0,55,10,2,119,1,0.8102574348449707
0,80,5,2,119,1,0.9614747762680054
0,70,0,2,181,0,0.9953403472900391
0,81,10,2,183,1,0.9855329394340515
0,9,0,2,230,1,0.9964583516120911
0,50,0,2,310,1,0.9647524952888489
0,57,25,3,155,1,0.7172638773918152
0,25,25,2,346,1,0.9345312714576721
0,46,5,2,154,1,0.2862963378429413
0,72,25,2,280,1,0.9992245435714722
0,75,15,2,348,0,0.9947369694709778
0,90,10,3,27,0,0.790287435054779
0,78,10,3,142,1,0.7717934250831604
0,68,15,2,148,0,0.8474108576774597
0,59,10,2,235,1,0.27618205547332764
0,92,10,3,82,0,0.8417044281959534
0,10,0,2,251,1,0.997312605381012
0,91,20,3,62,0,0.8812957406044006
0,4,25,2,38,1,0.9989919066429138
0,0,0,3,28,1,0.6848371028900146
0,45,5,2,119,1,0.9795291423797607
0,64,20,2,374,1,0.4033540189266205
0,24,15,3,325,1,0.6815860271453857
0,65,5,2,59,1,0.9690051674842834
0,54,10,2,99,1,0.9705895185470581
0,66,10,2,77,1,0.5382592082023621
0,26,25,2,30,1,0.9398071765899658
0,13,15,3,308,1,0.532184362411499
0,33,15,2,120,1,0.967207133769989
0,76,5,2,51,1,0.7302157878875732
0,4,10,2,38,1,0.9858551621437073
0,40,5,2,327,0,0.4549137353897095
0,52,0,2,374,1,0.7635558247566223
0,63,10,2,38,1,0.19851841032505035
0,32,0,3,104,1,0.9505781531333923
0,25,5,2,346,1,0.9986228942871094
0,40,10,2,327,0,0.25021892786026
0,73,10,2,295,0,0.9968928098678589
0,3,10,3,306,1,0.9924392700195312
0,3,15,3,306,1,0.9889934659004211
0,1,0,3,65,0,0.9094497561454773
0,8,5,2,208,1,0.9995859265327454
0,71,20,3,200,0,0.3471931219100952
0,65,0,2,59,1,0.990555465221405
0,42,10,2,385,1,0.9161643385887146
0,78,15,3,142,1,0.721663236618042
0,22,15,2,250,1,0.21065278351306915
0,38,20,3,278,1,0.9604037404060364
0,41,25,2,344,0,0.9891232848167419
