epoch training validation
0 [1.2358,3.0088] [0.9467,2.2547]
1 [1.3032,2.9446] [0.8643,2.1296]
2 [1.2012,2.8822] [0.8026,2.0298]
3 [1.1464,2.7776] [0.7637,1.9609]
4 [1.1266,2.7341] [0.7410,1.9107]
5 [1.1132,2.6527] [0.7270,1.8739]
6 [1.0656,2.6786] [0.7171,1.8470]
7 [1.0957,2.6061] [0.7117,1.8267]
8 [1.0702,2.6012] [0.7079,1.8131]
9 [1.0902,2.5239] [0.7059,1.8030]
10 [1.0699,2.5327] [0.7045,1.7948]
11 [1.0499,2.5061] [0.7033,1.7902]
12 [1.0884,2.6052] [0.7019,1.7855]
13 [1.0659,2.5269] [0.7009,1.7823]
14 [1.0766,2.5527] [0.7001,1.7798]
15 [1.0547,2.5408] [0.6991,1.7785]
16 [1.0272,2.5380] [0.6984,1.7766]
17 [1.0604,2.4849] [0.6976,1.7750]
18 [0.9991,2.4240] [0.6970,1.7721]
19 [1.0209,2.5410] [0.6962,1.7686]
20 [1.0051,2.4646] [0.6953,1.7659]
21 [0.9943,2.4337] [0.6943,1.7632]
22 [1.0232,2.4456] [0.6933,1.7614]
23 [1.0435,2.4445] [0.6923,1.7611]
24 [1.0180,2.4604] [0.6914,1.7605]
25 [1.0365,2.4352] [0.6906,1.7595]
26 [0.9869,2.4616] [0.6899,1.7573]
27 [0.9943,2.4565] [0.6890,1.7548]
28 [0.9978,2.4759] [0.6883,1.7551]
29 [1.0243,2.3951] [0.6876,1.7541]
30 [1.0222,2.5235] [0.6868,1.7540]
31 [1.0125,2.3860] [0.6860,1.7513]
32 [0.9704,2.4548] [0.6853,1.7500]
33 [1.0020,2.4345] [0.6845,1.7499]
34 [1.0176,2.4524] [0.6837,1.7493]
35 [0.9609,2.4843] [0.6830,1.7501]
36 [0.9741,2.4056] [0.6824,1.7493]
37 [0.9551,2.4019] [0.6819,1.7478]
38 [0.9916,2.4370] [0.6810,1.7476]
39 [1.0205,2.3976] [0.6803,1.7468]
40 [0.9446,2.3705] [0.6798,1.7469]
41 [0.9377,2.3679] [0.6790,1.7454]
42 [0.9384,2.3343] [0.6781,1.7435]
43 [0.9251,2.3887] [0.6775,1.7424]
44 [0.9907,2.4007] [0.6768,1.7412]
45 [0.9585,2.3488] [0.6761,1.7406]
46 [0.9594,2.3664] [0.6752,1.7415]
47 [0.9508,2.4195] [0.6747,1.7410]
48 [0.9302,2.4086] [0.6742,1.7407]
49 [0.9670,2.3339] [0.6738,1.7406]
50 [0.9427,2.3589] [0.6731,1.7401]
51 [0.9320,2.3564] [0.6724,1.7406]
52 [0.9246,2.4228] [0.6720,1.7400]
53 [0.9542,2.3351] [0.6714,1.7393]
54 [0.9690,2.3659] [0.6708,1.7386]
55 [0.9579,2.3717] [0.6701,1.7388]
56 [0.9539,2.2786] [0.6695,1.7391]
57 [0.9399,2.3378] [0.6692,1.7385]
58 [0.8982,2.2988] [0.6686,1.7388]
59 [0.9400,2.3157] [0.6680,1.7381]
60 [0.9621,2.3025] [0.6674,1.7370]
61 [0.9667,2.2521] [0.6667,1.7356]
62 [0.9177,2.2778] [0.6660,1.7356]
63 [0.8627,2.2875] [0.6658,1.7355]
64 [0.8922,2.2868] [0.6653,1.7360]
65 [0.8968,2.2905] [0.6647,1.7354]
66 [0.9043,2.3052] [0.6641,1.7335]
67 [0.8944,2.3102] [0.6636,1.7327]
68 [0.9150,2.2831] [0.6630,1.7320]
69 [0.8780,2.3047] [0.6630,1.7325]
70 [0.8520,2.2587] [0.6629,1.7319]
71 [0.8508,2.2629] [0.6622,1.7330]
72 [0.8933,2.2760] [0.6615,1.7326]
73 [0.8511,2.2498] [0.6611,1.7326]
74 [0.8668,2.2905] [0.6612,1.7322]
75 [0.8998,2.2925] [0.6603,1.7323]
76 [0.8565,2.2553] [0.6596,1.7324]
77 [0.9041,2.2505] [0.6589,1.7313]
78 [0.8789,2.2486] [0.6585,1.7315]
79 [0.8988,2.2515] [0.6583,1.7300]
80 [0.8566,2.1837] [0.6583,1.7291]
81 [0.8630,2.2144] [0.6580,1.7285]
82 [0.8499,2.2206] [0.6576,1.7272]
83 [0.8921,2.2366] [0.6569,1.7258]
84 [0.8376,2.2599] [0.6568,1.7259]
85 [0.8355,2.1808] [0.6564,1.7258]
86 [0.8570,2.2252] [0.6559,1.7261]
87 [0.8102,2.1785] [0.6560,1.7260]
88 [0.8795,2.1844] [0.6551,1.7256]
89 [0.8279,2.1973] [0.6544,1.7243]
90 [0.8455,2.1921] [0.6542,1.7237]
91 [0.8533,2.2385] [0.6540,1.7238]
92 [0.8359,2.2389] [0.6537,1.7245]
93 [0.8299,2.1833] [0.6536,1.7226]
94 [0.8176,2.2095] [0.6532,1.7221]
95 [0.8419,2.1781] [0.6527,1.7227]
96 [0.8344,2.1923] [0.6524,1.7229]
97 [0.8242,2.1731] [0.6522,1.7230]
98 [0.8326,2.1862] [0.6515,1.7223]
99 [0.8143,2.1552] [0.6514,1.7220]
