sid,tid,fid,ss,et,label,score
0,79,20,3,303,1,0.184055358171463
0,68,10,2,148,0,0.3433794379234314
0,72,5,2,280,1,0.3919271230697632
0,89,10,3,285,1,0.2103680968284607
0,45,10,2,119,1,0.30219629406929016
0,76,15,2,51,1,0.32429128885269165
0,40,0,2,327,0,0.20035146176815033
0,32,5,3,104,1,0.29228177666664124
0,25,10,2,346,1,0.3040175437927246
0,44,10,2,429,0,0.3125745356082916
0,73,25,2,295,0,0.3946646749973297
0,78,20,3,142,1,0.24674470722675323
0,46,10,2,154,1,0.2568531930446625
0,19,20,3,176,1,0.23524227738380432
0,80,0,2,119,1,0.26417917013168335
0,10,5,2,251,1,0.3629949688911438
0,90,15,3,27,0,0.15868952870368958
0,93,15,3,310,1,0.1839490383863449
0,5,0,2,86,1,0.39249107241630554
0,23,25,3,286,1,0.20081089437007904
0,36,10,3,217,0,0.2568094730377197
0,50,25,2,310,1,0.34092292189598083
0,88,25,3,229,1,0.20857399702072144
0,77,5,3,89,1,0.19608527421951294
0,43,15,3,413,1,0.25263339281082153
0,82,25,3,206,1,0.23920989036560059
0,11,10,2,274,0,0.3988209366798401
0,11,20,2,274,0,0.34894394874572754
0,1,10,3,65,0,0.21705514192581177
0,75,5,2,348,0,0.3354685306549072
0,57,15,3,155,1,0.24882501363754272
0,16,15,2,385,1,0.36933955550193787
0,36,5,3,217,0,0.23697170615196228
0,49,15,3,251,0,0.23649390041828156
0,63,25,2,38,1,0.3056487739086151
0,75,0,2,348,0,0.3160068392753601
0,61,5,2,269,1,0.2646857500076294
0,87,0,3,195,0,0.16976267099380493
0,48,5,3,29,1,0.32589343190193176
0,11,5,2,274,0,0.42188122868537903
0,76,10,2,51,1,0.3221483528614044
0,15,15,2,371,1,0.2819778323173523
0,60,5,2,251,1,0.25910326838493347
0,34,5,2,157,1,0.30448615550994873
0,13,20,3,308,1,0.26022109389305115
0,66,0,2,77,1,0.26357680559158325
0,13,25,3,308,1,0.24564999341964722
0,24,0,3,325,1,0.2441951483488083
0,87,20,3,195,0,0.22076663374900818
0,86,5,3,174,0,0.2040906548500061
0,30,0,2,46,1,0.3106412887573242
0,20,25,3,193,0,0.23922120034694672
0,30,20,2,46,1,0.2979271411895752
0,74,15,3,312,1,0.2868477702140808
0,60,10,2,251,1,0.2815980315208435
0,40,25,2,327,0,0.30174747109413147
0,24,20,3,325,1,0.3003537356853485
0,27,10,3,366,1,0.2598479390144348
0,54,0,2,99,1,0.31217455863952637
0,5,20,2,86,1,0.41449806094169617
0,45,20,2,119,1,0.2652195990085602
0,74,10,3,312,1,0.2894833981990814
0,85,15,2,107,1,0.3420294523239136
0,41,10,2,344,0,0.3622054159641266
0,55,10,2,119,1,0.3195561468601227
0,80,5,2,119,1,0.2937450706958771
0,70,0,2,181,0,0.32880669832229614
0,81,10,2,183,1,0.31214818358421326
0,9,0,2,230,1,0.35224971175193787
0,50,0,2,310,1,0.34169238805770874
0,57,25,3,155,1,0.2377251535654068
0,25,25,2,346,1,0.31003889441490173
0,46,5,2,154,1,0.1991351991891861
0,72,25,2,280,1,0.35317686200141907
0,75,15,2,348,0,0.38037416338920593
0,90,10,3,27,0,0.15753503143787384
0,78,10,3,142,1,0.18634125590324402
0,68,15,2,148,0,0.2760304808616638
0,59,10,2,235,1,0.2629101872444153
0,92,10,3,82,0,0.18873387575149536
0,10,0,2,251,1,0.3734748065471649
0,91,20,3,62,0,0.18543680012226105
0,4,25,2,38,1,0.3978629410266876
0,0,0,3,28,1,0.21441829204559326
0,45,5,2,119,1,0.2999510169029236
0,64,20,2,374,1,0.2510760426521301
0,24,15,3,325,1,0.2845368981361389
0,65,5,2,59,1,0.327215313911438
0,54,10,2,99,1,0.30948808789253235
0,66,10,2,77,1,0.250251829624176
0,26,25,2,30,1,0.312338262796402
0,13,15,3,308,1,0.26845410466194153
0,33,15,2,120,1,0.3641762137413025
0,76,5,2,51,1,0.3099246025085449
0,4,10,2,38,1,0.30069053173065186
0,40,5,2,327,0,0.2621251344680786
0,52,0,2,374,1,0.3260648548603058
0,63,10,2,38,1,0.3141416907310486
0,32,0,3,104,1,0.27043914794921875
0,25,5,2,346,1,0.32412293553352356
0,40,10,2,327,0,0.3119715750217438
0,73,10,2,295,0,0.330063134431839
0,3,10,3,306,1,0.21763142943382263
0,3,15,3,306,1,0.19913537800312042
0,1,0,3,65,0,0.20854592323303223
0,8,5,2,208,1,0.4167915880680084
0,71,20,3,200,0,0.23263747990131378
0,65,0,2,59,1,0.37973326444625854
0,42,10,2,385,1,0.32579952478408813
0,78,15,3,142,1,0.23869554698467255
0,22,15,2,250,1,0.2751540541648865
0,38,20,3,278,1,0.2693699598312378
0,41,25,2,344,0,0.3169902265071869
0,2,25,3,156,0,0.18853001296520233
0,28,5,2,404,1,0.2854006290435791
0,27,20,3,366,1,0.3338724970817566
0,9,25,2,230,1,0.36037537455558777
0,1,15,3,65,0,0.2241220325231552
0,91,5,3,62,0,0.17643634974956512
0,58,10,2,179,0,0.3038773834705353
0,9,15,2,230,1,0.360573947429657
0,17,20,2,416,1,0.37198808789253235
0,88,5,3,229,1,0.14375223219394684
0,22,20,2,250,1,0.2806648910045624
0,10,20,2,251,1,0.3548445403575897
0,65,15,2,59,1,0.36234164237976074
0,59,25,2,235,1,0.2092149704694748
0,7,15,2,193,1,0.3871922791004181
0,56,5,2,135,1,0.3283097743988037
0,86,25,3,174,0,0.16273462772369385
0,79,15,3,303,1,0.1901039183139801
0,70,15,2,181,0,0.24677658081054688
0,68,0,2,148,0,0.28918784856796265
0,80,10,2,119,1,0.3588472902774811
0,56,15,2,135,1,0.31902480125427246
0,1,20,3,65,0,0.22273679077625275
