epoch training validation
0 0.6774 0.6627
1 0.6761 0.6424
2 0.6544 0.6474
3 0.6483 0.6517
4 0.6436 0.6532
5 0.6399 0.6536
6 0.6368 0.6533
7 0.6341 0.6528
8 0.6316 0.6520
9 0.6293 0.6511
10 0.6272 0.6501
11 0.6252 0.6490
12 0.6233 0.6478
13 0.6041 0.6085
14 0.6034 0.6087
15 0.6032 0.6086
16 0.6030 0.6084
17 0.6029 0.6083
18 0.6028 0.6081
19 0.6027 0.6080
20 0.6025 0.6078
21 0.6024 0.6077
22 0.6022 0.6075
23 0.6021 0.6074
24 0.6019 0.6072
25 0.6018 0.6071
26 0.6016 0.6069
27 0.6015 0.6067
28 0.6013 0.6066
29 0.6011 0.6064
30 0.6010 0.6063
31 0.6008 0.6061
32 0.6006 0.6060
33 0.6005 0.6058
34 0.6003 0.6057
35 0.6001 0.6055
36 0.5999 0.6054
37 0.5998 0.6052
38 0.5996 0.6050
39 0.5994 0.6049
40 0.5992 0.6047
41 0.5991 0.6046
42 0.5989 0.6044
43 0.5987 0.6043
44 0.5985 0.6041
45 0.5984 0.6040
46 0.5982 0.6038
47 0.5980 0.6037
48 0.5978 0.6035
49 0.5976 0.6034
50 0.5975 0.6032
51 0.5973 0.6030
52 0.5971 0.6029
53 0.5969 0.6027
54 0.5968 0.6026
55 0.5966 0.6024
56 0.5964 0.6023
57 0.5962 0.6021
58 0.5961 0.6020
59 0.5959 0.6018
60 0.5957 0.6017
61 0.5956 0.6015
62 0.5954 0.6014
63 0.5952 0.6012
64 0.5950 0.6011
65 0.5949 0.6009
66 0.5947 0.6008
67 0.5945 0.6007
68 0.5944 0.6005
69 0.5942 0.6004
70 0.5940 0.6002
71 0.5939 0.6001
72 0.5937 0.5999
73 0.5935 0.5998
74 0.5934 0.5996
75 0.5932 0.5995
76 0.5930 0.5993
77 0.5929 0.5992
78 0.5927 0.5991
79 0.5925 0.5989
80 0.5924 0.5988
81 0.5922 0.5986
82 0.5921 0.5985
83 0.5919 0.5984
84 0.5918 0.5982
85 0.5916 0.5981
86 0.5914 0.5979
87 0.5913 0.5978
88 0.5911 0.5977
89 0.5910 0.5975
90 0.5908 0.5974
91 0.5907 0.5973
92 0.5905 0.5971
93 0.5904 0.5970
94 0.5902 0.5968
95 0.5900 0.5967
96 0.5899 0.5966
97 0.5897 0.5964
98 0.5896 0.5963
99 0.5894 0.5962
