sid,tid,fid,ss,et,label,score
0,79,20,3,303,1,0.23122534155845642
0,68,10,2,148,0,0.08736475557088852
0,72,5,2,280,1,0.7594447731971741
0,89,10,3,285,1,0.4692811369895935
0,45,10,2,119,1,0.25745952129364014
0,76,15,2,51,1,0.6208391785621643
0,40,0,2,327,0,0.8680902719497681
0,32,5,3,104,1,0.07701373100280762
0,25,10,2,346,1,0.12768661975860596
0,44,10,2,429,0,0.38856059312820435
0,73,25,2,295,0,0.7694839835166931
0,78,20,3,142,1,0.3514419198036194
0,46,10,2,154,1,0.3325325846672058
0,19,20,3,176,1,0.05385685712099075
0,80,0,2,119,1,0.16670389473438263
0,10,5,2,251,1,0.9804650545120239
0,90,15,3,27,0,0.08321644365787506
0,93,15,3,310,1,0.0491609200835228
0,5,0,2,86,1,0.9292739629745483
0,23,25,3,286,1,0.3314720094203949
0,36,10,3,217,0,0.40933918952941895
0,50,25,2,310,1,0.7667467594146729
0,88,25,3,229,1,0.029219962656497955
0,77,5,3,89,1,0.11479540169239044
0,43,15,3,413,1,0.698328971862793
0,82,25,3,206,1,0.3100220561027527
0,11,10,2,274,0,0.9516821503639221
0,11,20,2,274,0,0.931662380695343
0,1,10,3,65,0,0.5966898202896118
0,75,5,2,348,0,0.9797455668449402
0,57,15,3,155,1,0.19535772502422333
0,16,15,2,385,1,0.9414785504341125
0,36,5,3,217,0,0.025470789521932602
0,49,15,3,251,0,0.24531611800193787
0,63,25,2,38,1,0.5723664164543152
0,75,0,2,348,0,0.6823701858520508
0,61,5,2,269,1,0.06312231719493866
0,87,0,3,195,0,0.7928348183631897
0,48,5,3,29,1,0.8639413714408875
0,11,5,2,274,0,0.9513394832611084
0,76,10,2,51,1,0.4288550317287445
0,15,15,2,371,1,0.6032122373580933
0,60,5,2,251,1,0.8812830448150635
0,34,5,2,157,1,0.18604148924350739
0,13,20,3,308,1,0.15207314491271973
0,66,0,2,77,1,0.04188394173979759
0,13,25,3,308,1,0.6769205927848816
0,24,0,3,325,1,0.16307859122753143
0,87,20,3,195,0,0.7849680185317993
0,86,5,3,174,0,0.814736545085907
0,30,0,2,46,1,0.769919753074646
0,20,25,3,193,0,0.006111104506999254
0,30,20,2,46,1,0.5750005841255188
0,74,15,3,312,1,0.1346961259841919
0,60,10,2,251,1,0.27985456585884094
0,40,25,2,327,0,0.01633402146399021
0,24,20,3,325,1,0.8717715740203857
0,27,10,3,366,1,0.6123043298721313
0,54,0,2,99,1,0.15112529695034027
0,5,20,2,86,1,0.889427125453949
0,45,20,2,119,1,0.33712878823280334
0,74,10,3,312,1,0.45155414938926697
0,85,15,2,107,1,0.13683995604515076
0,41,10,2,344,0,0.5645478367805481
0,55,10,2,119,1,0.44166579842567444
0,80,5,2,119,1,0.22438356280326843
0,70,0,2,181,0,0.6793136596679688
0,81,10,2,183,1,0.6030929684638977
0,9,0,2,230,1,0.6888671517372131
0,50,0,2,310,1,0.704692542552948
0,57,25,3,155,1,0.21433737874031067
0,25,25,2,346,1,0.14476148784160614
0,46,5,2,154,1,0.048569194972515106
0,72,25,2,280,1,0.9006839394569397
0,75,15,2,348,0,0.3537578284740448
0,90,10,3,27,0,0.12897522747516632
0,78,10,3,142,1,0.5540087819099426
0,68,15,2,148,0,0.5196443796157837
0,59,10,2,235,1,0.07788965106010437
0,92,10,3,82,0,0.0148850092664361
0,10,0,2,251,1,0.9801270961761475
0,91,20,3,62,0,0.20407424867153168
0,4,25,2,38,1,0.7128404974937439
0,0,0,3,28,1,0.4408860206604004
0,45,5,2,119,1,0.12532955408096313
0,64,20,2,374,1,0.7315812706947327
0,24,15,3,325,1,0.3830925524234772
0,65,5,2,59,1,0.8467108011245728
0,54,10,2,99,1,0.14883854985237122
0,66,10,2,77,1,0.38828906416893005
0,26,25,2,30,1,0.1456758826971054
0,13,15,3,308,1,0.48148074746131897
0,33,15,2,120,1,0.6992625594139099
0,76,5,2,51,1,0.7820633053779602
0,4,10,2,38,1,0.25339287519454956
0,40,5,2,327,0,0.410308837890625
0,52,0,2,374,1,0.8170089721679688
0,63,10,2,38,1,0.10823222994804382
0,32,0,3,104,1,0.6372306942939758
0,25,5,2,346,1,0.7496771812438965
0,40,10,2,327,0,0.20922307670116425
0,73,10,2,295,0,0.7342652082443237
0,3,10,3,306,1,0.8669816255569458
0,3,15,3,306,1,0.7364559769630432
0,1,0,3,65,0,0.8925459980964661
0,8,5,2,208,1,0.9642524719238281
0,71,20,3,200,0,0.06307559460401535
0,65,0,2,59,1,0.8732600212097168
0,42,10,2,385,1,0.41559967398643494
0,78,15,3,142,1,0.4238789975643158
0,22,15,2,250,1,0.5919687747955322
0,38,20,3,278,1,0.5909289121627808
0,41,25,2,344,0,0.37614038586616516
0,2,25,3,156,0,0.5673914551734924
0,28,5,2,404,1,0.3638128638267517
0,27,20,3,366,1,0.8782498836517334
0,9,25,2,230,1,0.5621094107627869
0,1,15,3,65,0,0.640518307685852
0,91,5,3,62,0,0.02892361395061016
0,58,10,2,179,0,0.1811428666114807
0,9,15,2,230,1,0.829751193523407
0,17,20,2,416,1,0.6434468626976013
0,88,5,3,229,1,0.39259836077690125
0,22,20,2,250,1,0.2097785472869873
0,10,20,2,251,1,0.9512996673583984
0,65,15,2,59,1,0.9216746687889099
0,59,25,2,235,1,0.14235743880271912
0,7,15,2,193,1,0.8783749341964722
0,56,5,2,135,1,0.08120983093976974
0,86,25,3,174,0,0.15373094379901886
0,79,15,3,303,1,0.1335875242948532
0,70,15,2,181,0,0.06877759099006653
0,68,0,2,148,0,0.2064981907606125
0,80,10,2,119,1,0.7093728184700012
0,56,15,2,135,1,0.6007165908813477
0,1,20,3,65,0,0.938998281955719
0,91,10,3,62,0,0.0422399677336216
0,78,5,3,142,1,0.4541453421115875
0,82,15,3,206,1,0.0883002057671547
0,84,0,2,374,1,0.9609571099281311
0,43,20,3,413,1,0.5401724576950073
0,25,20,2,346,1,0.24931709468364716
0,12,15,2,289,1,0.7375903725624084
0,50,5,2,310,1,0.7224703431129456
0,58,15,2,179,0,0.4382992386817932
0,64,0,2,374,1,0.5107889771461487
0,89,20,3,285,1,0.22321175038814545
0,29,0,2,426,1,0.2149185836315155
0,82,20,3,206,1,0.5318259000778198
0,87,25,3,195,0,0.39522451162338257
0,31,15,2,88,1,0.11552083492279053
0,22,0,2,250,1,0.6146253347396851
0,81,15,2,183,1,0.5322186946868896
0,53,10,2,393,1,0.575465977191925
0,65,20,2,59,1,0.9224086999893188
0,69,0,2,14,1,0.24998162686824799
0,1,5,3,65,0,0.8124301433563232
0,36,25,3,217,0,0.2813396751880646
0,54,20,2,99,1,0.03966064006090164
0,30,15,2,46,1,0.33980414271354675
0,2,0,3,156,0,0.6462213397026062
0,45,0,2,119,1,0.7278707027435303
0,75,10,2,348,0,0.264628529548645
0,6,15,2,170,1,0.8549392223358154
0,72,10,2,280,1,0.8416690230369568
0,56,20,2,135,1,0.2864427864551544
0,53,0,2,393,1,0.2929844558238983
0,67,25,2,116,0,0.10383231937885284
0,92,25,3,82,0,0.024388661608099937
0,66,20,2,77,1,0.02780120261013508
0,38,15,3,278,1,0.4021408259868622
0,24,25,3,325,1,0.6245213150978088
0,89,5,3,285,1,0.19412298500537872
0,7,5,2,193,1,0.23122833669185638
0,67,10,2,116,0,0.5074852705001831
0,82,5,3,206,1,0.08244901895523071
0,14,25,2,337,0,0.6792205572128296
0,55,25,2,119,1,0.6425772905349731
0,10,10,2,251,1,0.9691928029060364
0,3,25,3,306,1,0.8222536444664001
0,83,10,2,241,1,0.4028247892856598
0,27,25,3,366,1,0.25448721647262573
0,59,20,2,235,1,0.08197734504938126
0,51,20,2,355,1,0.43432286381721497
0,12,5,2,289,1,0.223361074924469
0,0,10,3,28,1,0.35558196902275085
0,67,20,2,116,0,0.05109414830803871
0,32,15,3,104,1,0.2065659463405609
0,37,25,2,266,1,0.42706677317619324
0,75,25,2,348,0,0.8939655423164368
0,81,0,2,183,1,0.6949849128723145
0,18,15,2,435,1,0.9165652990341187
0,6,0,2,170,1,0.5497763156890869
0,66,15,2,77,1,0.14132077991962433
0,22,25,2,250,1,0.00500458711758256
0,45,15,2,119,1,0.6755314469337463
0,6,25,2,170,1,0.9711279273033142
0,19,5,3,176,1,0.4531397521495819
0,3,20,3,306,1,0.7509512901306152
0,35,20,2,17,1,0.6478418111801147
0,48,25,3,29,1,0.36736613512039185
0,21,10,2,211,1,0.40723466873168945
0,93,5,3,310,1,0.05370141938328743
0,0,20,3,28,1,0.0629395842552185
0,73,20,2,295,0,0.5180625915527344
0,55,15,2,119,1,0.278991162776947
0,21,20,2,211,1,0.26418212056159973
0,26,0,2,30,1,0.950241208076477
0,64,10,2,374,1,0.2936697006225586
0,37,5,2,266,1,0.3846968114376068
0,86,10,3,174,0,0.35900381207466125
0,70,20,2,181,0,0.5657846927642822
0,46,15,2,154,1,0.2687469720840454
0,48,0,3,29,1,0.7642343640327454
0,18,0,2,435,1,0.9923985600471497
0,69,20,2,14,1,0.1489214152097702
0,3,0,3,306,1,0.9421016573905945
0,8,15,2,208,1,0.968137800693512
0,17,0,2,416,1,0.6038534045219421
0,85,25,2,107,1,0.1944836527109146
0,35,5,2,17,1,0.7566335201263428
0,8,20,2,208,1,0.7531719207763672
0,5,15,2,86,1,0.8700709342956543
0,90,25,3,27,0,0.09097588807344437
0,28,15,2,404,1,0.0575101263821125
0,36,0,3,217,0,0.25582703948020935
0,91,15,3,62,0,0.02755087800323963
0,32,10,3,104,1,0.7327134013175964
0,13,5,3,308,1,0.41084861755371094
0,29,5,2,426,1,0.20991414785385132
0,71,0,3,200,0,0.18643732368946075
0,80,25,2,119,1,0.8237120509147644
0,49,0,3,251,0,0.05011811852455139
0,19,25,3,176,1,0.5743118524551392
0,2,10,3,156,0,0.34026166796684265
0,58,20,2,179,0,0.720865786075592
0,26,5,2,30,1,0.6921554803848267
0,42,20,2,385,1,0.03854626789689064
0,74,25,3,312,1,0.4332934617996216
0,76,20,2,51,1,0.5952721238136292
0,7,20,2,193,1,0.8822427988052368
0,69,5,2,14,1,0.1110801249742508
0,87,15,3,195,0,0.5555970668792725
0,67,15,2,116,0,0.014747337438166142
0,49,5,3,251,0,0.36960914731025696
0,90,0,3,27,0,0.038447342813014984
0,6,10,2,170,1,0.7166194915771484
0,41,15,2,344,0,0.6005696654319763
0,60,0,2,251,1,0.6031866669654846
0,49,20,3,251,0,0.2121831625699997
0,47,10,2,177,1,0.16108451783657074
0,41,0,2,344,0,0.5606213212013245
0,61,15,2,269,1,0.14366057515144348
0,61,25,2,269,1,0.16224358975887299
