epoch training validation
0 [0.6912,2.0216] [0.6627,1.9966]
1 [0.6102,2.0398] [0.6104,1.9799]
2 [0.5921,2.0851] [0.5952,1.9642]
3 [0.5827,2.1427] [0.5833,1.9591]
4 [0.5766,2.2146] [0.5776,1.9585]
5 [0.5764,2.3015] [0.5728,1.9689]
6 [0.5747,2.4085] [0.5691,1.9935]
7 [0.5746,2.5411] [0.5668,2.0358]
8 [0.5738,2.7073] [0.5648,2.1209]
9 [0.5736,2.9324] [0.5635,2.2953]
10 [0.5730,3.2286] [0.5624,2.6542]
11 [0.5718,3.6251] [0.5612,3.4359]
12 [0.5717,4.1703] [0.5596,4.9720]
13 [0.5707,5.1046] [0.5588,8.3533]
14 [0.5701,7.1422] [0.5599,14.6199]
15 [0.5706,10.5474] [0.5592,23.1957]
16 [0.5717,15.1933] [0.5575,33.5196]
17 [0.5698,21.2532] [0.5626,44.9408]
18 [0.5708,28.5116] [0.5515,56.3434]
19 [0.5705,35.9452] [0.5791,66.0243]
20 [0.5654,42.2259] [0.5755,73.1798]
21 [0.5609,46.7266] [0.5948,77.4977]
22 [0.5604,49.1438] [0.6269,78.6170]
23 [0.5650,49.3110] [0.6128,76.6862]
24 [0.5554,47.5779] [0.5744,72.4280]
25 [0.5505,44.4205] [0.5477,66.4273]
26 [0.5548,40.1007] [0.5805,59.0373]
27 [0.5544,35.0134] [0.5928,50.7665]
28 [0.5513,29.4375] [0.5731,42.1008]
29 [0.5335,23.7245] [0.5284,33.4349]
30 [0.5216,18.0219] [0.5442,25.0382]
31 [0.5302,12.9190] [0.5068,18.1603]
32 [0.5142,9.6909] [0.5209,14.6125]
33 [0.5062,8.4279] [0.5008,14.4547]
34 [0.4995,8.9130] [0.5219,16.5613]
35 [0.4990,10.3445] [0.4971,20.4636]
36 [0.4905,13.2010] [0.4983,26.7979]
37 [0.4853,17.3332] [0.4976,33.8926]
38 [0.4745,21.6762] [0.4999,40.9022]
39 [0.4614,25.8763] [0.4972,47.6093]
40 [0.4659,29.9690] [0.5003,54.0614]
41 [0.4573,33.9651] [0.5079,60.3897]
42 [0.4539,37.8332] [0.4998,66.2958]
43 [0.4430,41.4620] [0.5123,71.8955]
44 [0.4360,44.9776] [0.5036,77.1031]
45 [0.4365,48.2151] [0.5012,81.8118]
46 [0.4250,51.1258] [0.5065,85.8775]
47 [0.4248,53.6373] [0.4980,89.1607]
48 [0.4253,55.6041] [0.4971,91.3720]
49 [0.4237,56.8828] [0.5042,92.5854]
50 [0.4114,57.4843] [0.5196,92.9013]
51 [0.4039,57.5946] [0.5060,92.3940]
52 [0.4171,57.1007] [0.5205,90.8838]
53 [0.4146,55.9977] [0.5252,88.4678]
54 [0.4009,54.3430] [0.5148,85.4091]
55 [0.4064,52.2658] [0.5191,81.7683]
56 [0.4009,49.8556] [0.5164,77.5564]
57 [0.3935,47.0963] [0.5188,72.9905]
58 [0.3992,44.1545] [0.5765,68.2233]
59 [0.3873,41.0913] [0.5702,63.3855]
60 [0.3840,38.0257] [0.5489,58.5635]
61 [0.3647,34.9521] [0.5452,53.8963]
62 [0.3617,32.0639] [0.5439,49.4958]
63 [0.3551,29.3630] [0.5497,45.3939]
64 [0.3518,26.8211] [0.5734,41.6206]
65 [0.3547,24.5863] [0.5640,38.3149]
66 [0.3421,22.6142] [0.5591,35.4231]
67 [0.3367,20.8998] [0.5658,33.0075]
68 [0.3377,19.5863] [0.5865,31.1024]
69 [0.3216,18.5882] [0.5994,29.7269]
70 [0.3254,17.8774] [0.5922,28.7935]
71 [0.3205,17.5084] [0.6170,28.3055]
72 [0.3174,17.3350] [0.5912,28.0662]
73 [0.3121,17.3262] [0.6194,27.9135]
74 [0.3045,17.3311] [0.6371,27.6565]
75 [0.3085,17.2712] [0.6635,27.2837]
76 [0.3046,17.1612] [0.7068,26.8751]
77 [0.3107,16.9278] [0.7066,26.3792]
78 [0.2962,16.6280] [0.7400,25.8277]
79 [0.2986,16.2191] [0.8035,25.1825]
80 [0.2921,15.7373] [0.7843,24.4019]
81 [0.2947,15.1510] [0.8096,23.4825]
82 [0.2982,14.4622] [0.8643,22.3686]
83 [0.2905,13.6445] [0.8988,21.1900]
84 [0.2790,12.7458] [0.9028,20.1917]
85 [0.2797,11.8273] [0.9076,19.7095]
86 [0.2735,10.9999] [1.0214,19.2541]
87 [0.2754,10.2959] [1.0356,18.3877]
88 [0.2639,9.7221] [1.1165,17.4235]
89 [0.2682,9.5951] [1.1056,16.9065]
90 [0.2629,11.6010] [1.0131,20.2856]
91 [0.2562,16.0958] [0.9622,27.6865]
92 [0.2592,21.1774] [1.0271,35.4949]
93 [0.2547,26.6429] [0.9523,43.8265]
94 [0.2555,32.6894] [0.8315,52.8474]
95 [0.2454,39.3297] [0.9075,62.5400]
96 [0.2474,46.5802] [0.8022,72.7155]
97 [0.2474,54.1950] [0.7888,83.0083]
98 [0.2476,61.8727] [0.7899,92.8913]
99 [0.2472,69.1771] [0.8217,101.8324]
100 [0.2525,75.7171] [0.7839,109.2915]
101 [0.2482,81.0366] [0.9405,114.6958]
102 [0.2496,84.7148] [0.8323,117.6918]
103 [0.2548,86.6136] [0.8933,118.0211]
104 [0.2467,86.7499] [0.7865,116.3400]
105 [0.2584,85.2052] [0.8589,112.3576]
106 [0.2545,82.1995] [0.9239,106.6006]
