sid,tid,fid,ss,et,label,score
0,79,20,3,303,1,9.197068493449478e-07
0,68,10,2,148,0,0.3593516945838928
0,72,5,2,280,1,0.9993703961372375
0,89,10,3,285,1,0.00021349432063288987
0,45,10,2,119,1,6.82486715959385e-05
0,76,15,2,51,1,0.5145444869995117
0,40,0,2,327,0,2.7825899451272562e-06
0,32,5,3,104,1,0.6095958948135376
0,25,10,2,346,1,0.7828415036201477
0,44,10,2,429,0,0.903693675994873
0,73,25,2,295,0,0.9994018077850342
0,78,20,3,142,1,1.1608077556957141e-06
0,46,10,2,154,1,1.8802468559897534e-07
0,19,20,3,176,1,5.795972590760812e-09
0,80,0,2,119,1,0.00019894340948667377
0,10,5,2,251,1,0.99863201379776
0,90,15,3,27,0,1.7732384094415465e-07
0,93,15,3,310,1,3.5781977203441784e-07
0,5,0,2,86,1,0.9998611211776733
0,23,25,3,286,1,3.6548944990499876e-06
0,36,10,3,217,0,0.013159200549125671
0,50,25,2,310,1,0.9968733191490173
0,88,25,3,229,1,6.568460886313687e-09
0,77,5,3,89,1,7.1368212957168e-06
0,43,15,3,413,1,0.00400142977014184
0,82,25,3,206,1,0.013792361132800579
0,11,10,2,274,0,0.9914559721946716
0,11,20,2,274,0,0.6356800198554993
0,1,10,3,65,0,0.6416646838188171
0,75,5,2,348,0,0.9739883542060852
0,57,15,3,155,1,2.718509676924441e-06
0,16,15,2,385,1,0.9989489912986755
0,36,5,3,217,0,4.047452595301593e-09
0,49,15,3,251,0,1.7134807421825826e-05
0,63,25,2,38,1,0.0008538369438610971
0,75,0,2,348,0,0.6566081643104553
0,61,5,2,269,1,0.00759876798838377
0,87,0,3,195,0,5.019783477777651e-10
0,48,5,3,29,1,0.030346820130944252
0,11,5,2,274,0,0.9998623132705688
0,76,10,2,51,1,0.994839608669281
0,15,15,2,371,1,0.01782587543129921
0,60,5,2,251,1,0.1318688541650772
0,34,5,2,157,1,0.8446364402770996
0,13,20,3,308,1,7.548494613729417e-05
0,66,0,2,77,1,7.066085563889324e-12
0,13,25,3,308,1,1.6884509079773125e-07
0,24,0,3,325,1,0.00019113218877464533
0,87,20,3,195,0,5.076642264612019e-05
0,86,5,3,174,0,1.7670884755460747e-09
0,30,0,2,46,1,0.9412446022033691
0,20,25,3,193,0,3.665052483725617e-09
0,30,20,2,46,1,0.02082289569079876
0,74,15,3,312,1,0.01719321869313717
0,60,10,2,251,1,0.8928976058959961
0,40,25,2,327,0,3.543043636256016e-11
0,24,20,3,325,1,1.0
0,27,10,3,366,1,0.00011039032688131556
0,54,0,2,99,1,0.06477495282888412
0,5,20,2,86,1,0.9999278783798218
0,45,20,2,119,1,0.9984089732170105
0,74,10,3,312,1,0.25489452481269836
0,85,15,2,107,1,0.03700455278158188
0,41,10,2,344,0,0.12849873304367065
0,55,10,2,119,1,0.03297911584377289
0,80,5,2,119,1,0.2137150913476944
0,70,0,2,181,0,0.7599160075187683
0,81,10,2,183,1,0.9790919423103333
0,9,0,2,230,1,0.0004594949132297188
0,50,0,2,310,1,0.2385510504245758
0,57,25,3,155,1,5.530519410967827e-05
0,25,25,2,346,1,0.9737571477890015
0,46,5,2,154,1,6.440597126531732e-15
0,72,25,2,280,1,0.9996905326843262
0,75,15,2,348,0,0.955310046672821
0,90,10,3,27,0,0.0008322542998939753
0,78,10,3,142,1,0.008220595307648182
0,68,15,2,148,0,2.4885837774490938e-05
0,59,10,2,235,1,1.4083747373661026e-05
0,92,10,3,82,0,6.66893856759998e-06
0,10,0,2,251,1,0.9999929666519165
0,91,20,3,62,0,1.5966665159794502e-05
0,4,25,2,38,1,0.99992835521698
0,0,0,3,28,1,0.9988988637924194
0,45,5,2,119,1,6.318688974715769e-06
0,64,20,2,374,1,0.00011855088814627379
0,24,15,3,325,1,0.027594780549407005
0,65,5,2,59,1,0.9999186992645264
0,54,10,2,99,1,0.0007934489985927939
0,66,10,2,77,1,5.535889613383915e-06
0,26,25,2,30,1,0.9758366346359253
0,13,15,3,308,1,4.4524721687366764e-08
0,33,15,2,120,1,0.04619777947664261
0,76,5,2,51,1,0.9772188663482666
0,4,10,2,38,1,0.015753766521811485
0,40,5,2,327,0,9.228110866388306e-05
0,52,0,2,374,1,0.9842060804367065
0,63,10,2,38,1,0.0027437927201390266
0,32,0,3,104,1,0.0019202441908419132
0,25,5,2,346,1,0.4737182855606079
0,40,10,2,327,0,0.0011646209750324488
0,73,10,2,295,0,0.9891999959945679
0,3,10,3,306,1,0.9999639987945557
0,3,15,3,306,1,0.9957287907600403
0,1,0,3,65,0,0.008551200851798058
0,8,5,2,208,1,0.9993588328361511
0,71,20,3,200,0,1.0609069249767344e-05
0,65,0,2,59,1,0.9976512789726257
0,42,10,2,385,1,9.236596815753728e-05
0,78,15,3,142,1,0.0048209913074970245
0,22,15,2,250,1,0.14744096994400024
0,38,20,3,278,1,0.0001552417961647734
0,41,25,2,344,0,2.7368481823941693e-05
0,2,25,3,156,0,0.4206351637840271
0,28,5,2,404,1,2.6805578272615094e-06
0,27,20,3,366,1,0.9972125887870789
0,9,25,2,230,1,0.0025975420139729977
0,1,15,3,65,0,0.9556057453155518
0,91,5,3,62,0,5.972577127977274e-06
0,58,10,2,179,0,0.0002971258945763111
0,9,15,2,230,1,0.9863948822021484
0,17,20,2,416,1,0.9969792366027832
0,88,5,3,229,1,2.1607226230457854e-08
0,22,20,2,250,1,5.095065262139542e-06
0,10,20,2,251,1,0.12155190855264664
0,65,15,2,59,1,0.9999754428863525
0,59,25,2,235,1,5.58939028394434e-09
0,7,15,2,193,1,0.9999984502792358
0,56,5,2,135,1,0.8924986124038696
0,86,25,3,174,0,9.2041254617925e-08
0,79,15,3,303,1,7.352497505053179e-06
0,70,15,2,181,0,0.03903903439640999
0,68,0,2,148,0,0.035924945026636124
0,80,10,2,119,1,0.9626497626304626
0,56,15,2,135,1,0.9998716115951538
0,1,20,3,65,0,0.999504566192627
0,91,10,3,62,0,0.00017081137048080564
0,78,5,3,142,1,9.686983503343072e-06
0,82,15,3,206,1,1.3066406609141268e-05
0,84,0,2,374,1,0.9996727705001831
0,43,20,3,413,1,0.1749173402786255
0,25,20,2,346,1,0.9024556875228882
0,12,15,2,289,1,0.0014509119791910052
0,50,5,2,310,1,0.9994357228279114
0,58,15,2,179,0,2.878023906305316e-06
0,64,0,2,374,1,1.3327317901712377e-05
0,89,20,3,285,1,0.00026656760019250214
0,29,0,2,426,1,0.023100925609469414
0,82,20,3,206,1,0.0011887544533237815
0,87,25,3,195,0,3.275313076311903e-10
0,31,15,2,88,1,0.060136083513498306
0,22,0,2,250,1,0.00036276227911002934
0,81,15,2,183,1,0.9997701048851013
0,53,10,2,393,1,0.9750887751579285
0,65,20,2,59,1,0.997590184211731
0,69,0,2,14,1,0.1979048103094101
0,1,5,3,65,0,0.997037410736084
0,36,25,3,217,0,0.020215844735503197
0,54,20,2,99,1,0.00027149065863341093
0,30,15,2,46,1,0.004259879235178232
0,2,0,3,156,0,0.9311361908912659
0,45,0,2,119,1,0.011474561877548695
0,75,10,2,348,0,0.2249121367931366
0,6,15,2,170,1,0.9887480735778809
0,72,10,2,280,1,0.9907063841819763
0,56,20,2,135,1,0.5489762425422668
0,53,0,2,393,1,0.3371008038520813
0,67,25,2,116,0,3.583317720767809e-06
0,92,25,3,82,0,0.0001695387327345088
0,66,20,2,77,1,7.820429459570732e-08
0,38,15,3,278,1,0.000333004689309746
0,24,25,3,325,1,0.9744839072227478
0,89,5,3,285,1,1.4059109432196237e-10
0,7,5,2,193,1,0.9572628140449524
0,67,10,2,116,0,7.433141604451521e-07
0,82,5,3,206,1,0.0019093098817393184
0,14,25,2,337,0,0.5000380277633667
0,55,25,2,119,1,0.209662526845932
0,10,10,2,251,1,0.9999090433120728
0,3,25,3,306,1,0.9997499585151672
0,83,10,2,241,1,0.0054405261762440205
0,27,25,3,366,1,0.0002778590132948011
0,59,20,2,235,1,0.8568481206893921
0,51,20,2,355,1,0.0038226041942834854
0,12,5,2,289,1,0.10566969960927963
0,0,10,3,28,1,0.9998239874839783
0,67,20,2,116,0,5.765697324022767e-07
0,32,15,3,104,1,6.0756055972888134e-06
0,37,25,2,266,1,0.22168314456939697
0,75,25,2,348,0,0.9999970197677612
0,81,0,2,183,1,0.04492836073040962
0,18,15,2,435,1,0.7280194163322449
0,6,0,2,170,1,9.075427078641951e-05
0,66,15,2,77,1,1.3744127500103787e-05
0,22,25,2,250,1,0.0004586450813803822
0,45,15,2,119,1,0.20951101183891296
0,6,25,2,170,1,0.9998766183853149
0,19,5,3,176,1,2.463629425619729e-05
0,3,20,3,306,1,0.9995589852333069
0,35,20,2,17,1,0.3694802522659302
0,48,25,3,29,1,0.24243685603141785
0,21,10,2,211,1,0.08527747541666031
0,93,5,3,310,1,8.19282530706289e-10
0,0,20,3,28,1,0.7237474918365479
0,73,20,2,295,0,0.7489211559295654
0,55,15,2,119,1,4.463536242838018e-06
0,21,20,2,211,1,0.00019384094048291445
0,26,0,2,30,1,0.9323034286499023
0,64,10,2,374,1,0.05005848407745361
0,37,5,2,266,1,0.19971416890621185
0,86,10,3,174,0,0.0023045255802571774
0,70,20,2,181,0,0.050142910331487656
0,46,15,2,154,1,0.0005476051010191441
0,48,0,3,29,1,0.22544634342193604
0,18,0,2,435,1,0.8894837498664856
0,69,20,2,14,1,0.0012969725066795945
0,3,0,3,306,1,0.9916513562202454
0,8,15,2,208,1,0.002545718802139163
0,17,0,2,416,1,0.9998871088027954
0,85,25,2,107,1,0.9724961519241333
0,35,5,2,17,1,0.8677700161933899
0,8,20,2,208,1,5.0522678066045046e-05
0,5,15,2,86,1,0.966778576374054
0,90,25,3,27,0,6.119917543401243e-06
0,28,15,2,404,1,7.752336387056857e-06
0,36,0,3,217,0,2.980847284561605e-06
0,91,15,3,62,0,8.268034434877336e-05
0,32,10,3,104,1,0.09018909186124802
0,13,5,3,308,1,0.6594786643981934
0,29,5,2,426,1,0.0015733878826722503
0,71,0,3,200,0,0.011831939220428467
0,80,25,2,119,1,0.9999947547912598
0,49,0,3,251,0,2.783709760478814e-06
0,19,25,3,176,1,3.386388502946147e-09
0,2,10,3,156,0,0.0019867168739438057
0,58,20,2,179,0,0.5498447418212891
