epoch training validation
0 [8.5231,21.5118] [3.6855,9.4568]
1 [8.4713,21.0347] [3.5845,9.3464]
2 [8.1328,21.2649] [3.4791,9.2255]
3 [7.8064,21.1250] [3.3928,9.1155]
4 [7.9764,20.8447] [3.3093,9.0043]
5 [7.8127,20.8841] [3.2313,8.8892]
6 [8.2493,20.9686] [3.1533,8.7794]
7 [8.5538,20.6880] [3.0706,8.6705]
8 [7.9028,20.0308] [2.9987,8.5670]
9 [7.3906,20.5167] [2.9274,8.4686]
10 [7.2509,19.9797] [2.8727,8.3683]
11 [6.9550,20.2960] [2.8132,8.2732]
12 [7.4872,20.4743] [2.7595,8.1797]
13 [7.1672,19.8370] [2.7119,8.0927]
14 [7.4674,19.9921] [2.6617,8.0082]
15 [6.8992,19.7682] [2.6174,7.9291]
16 [6.9110,19.3397] [2.5752,7.8460]
17 [6.9840,18.9925] [2.5353,7.7685]
18 [6.8017,19.0277] [2.5020,7.6848]
19 [7.0767,19.5220] [2.4688,7.6013]
20 [6.9098,18.9918] [2.4372,7.5227]
21 [7.0866,19.2055] [2.4065,7.4522]
22 [6.7926,18.8873] [2.3812,7.3848]
23 [6.3308,19.1261] [2.3592,7.3156]
24 [6.4626,18.6717] [2.3421,7.2470]
25 [6.9140,18.5508] [2.3187,7.1788]
26 [6.4360,18.7442] [2.3029,7.1115]
27 [6.7444,18.3817] [2.2838,7.0455]
28 [6.2158,18.7434] [2.2648,6.9874]
29 [6.2298,18.7882] [2.2507,6.9318]
30 [6.3241,18.7313] [2.2374,6.8771]
31 [6.1316,18.3819] [2.2216,6.8202]
32 [6.5156,17.4406] [2.2040,6.7667]
33 [6.4370,17.9024] [2.1910,6.7154]
34 [6.2803,18.3714] [2.1787,6.6619]
35 [6.1301,17.7971] [2.1677,6.6072]
36 [5.7455,17.6367] [2.1559,6.5514]
37 [5.5659,17.5064] [2.1437,6.5011]
38 [6.0287,16.8114] [2.1308,6.4560]
39 [5.8883,17.4568] [2.1208,6.4053]
40 [5.7679,16.9789] [2.1113,6.3609]
41 [5.9665,17.5710] [2.1056,6.3112]
42 [5.5250,17.1534] [2.0994,6.2651]
43 [5.5354,16.8764] [2.0907,6.2196]
44 [5.7948,17.3460] [2.0859,6.1756]
45 [5.8209,17.2237] [2.0733,6.1345]
46 [5.6531,17.2136] [2.0594,6.0944]
47 [5.6328,16.4854] [2.0528,6.0546]
48 [5.5280,17.0856] [2.0471,6.0179]
49 [5.6100,16.7293] [2.0408,5.9852]
50 [5.3580,16.0202] [2.0365,5.9496]
51 [5.2699,16.5629] [2.0299,5.9119]
52 [5.2881,16.8159] [2.0190,5.8779]
53 [5.1183,17.0569] [2.0118,5.8455]
54 [5.5332,15.8203] [2.0035,5.8147]
55 [5.5827,16.2348] [1.9957,5.7860]
56 [4.9935,15.6343] [1.9913,5.7575]
57 [5.3364,16.2525] [1.9880,5.7250]
58 [4.8229,16.3229] [1.9843,5.6982]
59 [5.1308,16.0771] [1.9792,5.6684]
60 [5.0151,15.5119] [1.9746,5.6379]
61 [4.9558,15.9455] [1.9686,5.6116]
62 [4.7578,15.4395] [1.9629,5.5823]
63 [4.9682,15.5686] [1.9594,5.5504]
64 [5.0739,15.6202] [1.9549,5.5205]
65 [4.9274,15.2106] [1.9472,5.4951]
66 [4.9466,15.8371] [1.9431,5.4667]
67 [4.8211,15.7059] [1.9374,5.4417]
68 [5.0092,15.3702] [1.9280,5.4179]
69 [4.7656,15.3130] [1.9213,5.3934]
70 [4.9428,15.2236] [1.9183,5.3713]
71 [4.7176,15.2193] [1.9139,5.3441]
72 [4.4868,14.8783] [1.9067,5.3184]
73 [4.2880,15.4595] [1.9011,5.2921]
74 [4.5427,14.9404] [1.8945,5.2731]
75 [4.4969,14.8620] [1.8806,5.2465]
76 [4.4864,14.6019] [1.8719,5.2240]
77 [4.5965,14.9503] [1.8669,5.2011]
78 [4.2665,14.4504] [1.8589,5.1833]
79 [4.4574,14.6667] [1.8505,5.1595]
80 [4.5497,14.2569] [1.8406,5.1375]
81 [4.0624,14.8518] [1.8341,5.1145]
82 [4.2520,14.7429] [1.8265,5.0955]
83 [4.3934,14.2553] [1.8160,5.0808]
84 [4.3865,14.2724] [1.8078,5.0562]
85 [4.2748,14.5066] [1.8008,5.0349]
86 [4.1225,13.9944] [1.7930,5.0100]
87 [4.5818,13.8179] [1.7877,4.9877]
88 [4.2652,14.0309] [1.7819,4.9718]
89 [4.1665,13.9053] [1.7795,4.9498]
90 [3.9448,14.1524] [1.7720,4.9336]
91 [4.1848,13.8027] [1.7613,4.9172]
92 [3.8881,13.7939] [1.7464,4.9000]
93 [3.9686,13.5006] [1.7345,4.8786]
94 [3.9999,13.7388] [1.7327,4.8603]
95 [3.9608,13.4104] [1.7244,4.8330]
96 [3.8006,13.6350] [1.7161,4.8108]
97 [3.8214,13.9031] [1.7076,4.7880]
98 [3.7608,13.2118] [1.6968,4.7761]
99 [4.0769,13.5866] [1.6866,4.7671]
