sid,tid,fid,ss,et,label,score
0,79,20,3,303,1,7.561480401818699e-07
0,68,10,2,148,0,0.9576089978218079
0,72,5,2,280,1,0.6607845425605774
0,89,10,3,285,1,6.459232827182859e-05
0,45,10,2,119,1,0.02416231483221054
0,76,15,2,51,1,0.15026487410068512
0,40,0,2,327,0,2.005758688028436e-05
0,32,5,3,104,1,0.9997809529304504
0,25,10,2,346,1,0.17045128345489502
0,44,10,2,429,0,0.2006370574235916
0,73,25,2,295,0,0.8957915902137756
0,78,20,3,142,1,4.2688776602517464e-07
0,46,10,2,154,1,2.2744574380340055e-05
0,19,20,3,176,1,9.174098522635177e-06
0,80,0,2,119,1,0.3573026955127716
0,10,5,2,251,1,0.5199540853500366
0,90,15,3,27,0,5.978220087854424e-07
0,93,15,3,310,1,1.9530949430190958e-05
0,5,0,2,86,1,0.9922778606414795
0,23,25,3,286,1,4.500889105862882e-10
0,36,10,3,217,0,0.0065228636376559734
0,50,25,2,310,1,0.11424367874860764
0,88,25,3,229,1,0.030342767015099525
0,77,5,3,89,1,0.00012048178177792579
0,43,15,3,413,1,0.007312806323170662
0,82,25,3,206,1,0.00019266751769464463
0,11,10,2,274,0,0.2589035630226135
0,11,20,2,274,0,0.9637270569801331
0,1,10,3,65,0,0.024874620139598846
0,75,5,2,348,0,0.7177537679672241
0,57,15,3,155,1,0.0003716237551998347
0,16,15,2,385,1,0.9986887574195862
0,36,5,3,217,0,1.1237048056500498e-06
0,49,15,3,251,0,2.0041676179971546e-05
0,63,25,2,38,1,9.669987548477366e-07
0,75,0,2,348,0,0.2096666693687439
0,61,5,2,269,1,0.26915422081947327
0,87,0,3,195,0,6.329909929547739e-10
0,48,5,3,29,1,0.08644603192806244
0,11,5,2,274,0,0.9990596175193787
0,76,10,2,51,1,0.9584288001060486
0,15,15,2,371,1,0.6863595247268677
0,60,5,2,251,1,0.05207854136824608
0,34,5,2,157,1,0.98170405626297
0,13,20,3,308,1,0.009446234442293644
0,66,0,2,77,1,3.5806552167727546e-10
0,13,25,3,308,1,1.3895895563109661e-06
0,24,0,3,325,1,0.07774093747138977
0,87,20,3,195,0,0.00026932734181173146
0,86,5,3,174,0,7.090748876947828e-09
0,30,0,2,46,1,0.9712677001953125
0,20,25,3,193,0,1.6083617992990185e-06
0,30,20,2,46,1,0.037071771919727325
0,74,15,3,312,1,0.00044226672616787255
0,60,10,2,251,1,0.902620255947113
0,40,25,2,327,0,5.311417226039339e-07
0,24,20,3,325,1,0.9999992847442627
0,27,10,3,366,1,0.0022217051591724157
0,54,0,2,99,1,0.29995596408843994
0,5,20,2,86,1,0.9851169586181641
0,45,20,2,119,1,0.9877228736877441
0,74,10,3,312,1,0.003683815011754632
0,85,15,2,107,1,0.06465712189674377
0,41,10,2,344,0,0.8801881074905396
0,55,10,2,119,1,0.004342558793723583
0,80,5,2,119,1,0.21324734389781952
0,70,0,2,181,0,0.03845592588186264
0,81,10,2,183,1,0.703201949596405
0,9,0,2,230,1,0.9184019565582275
0,50,0,2,310,1,0.0324600525200367
0,57,25,3,155,1,5.1900471589760855e-05
0,25,25,2,346,1,0.3625902235507965
0,46,5,2,154,1,1.0882033989190187e-11
0,72,25,2,280,1,0.7056497931480408
0,75,15,2,348,0,0.34482869505882263
0,90,10,3,27,0,1.3839992334396811e-06
0,78,10,3,142,1,3.5036068766203243e-06
0,68,15,2,148,0,0.03317267447710037
0,59,10,2,235,1,7.842323248041794e-05
0,92,10,3,82,0,1.0061911552838865e-06
0,10,0,2,251,1,0.9996547698974609
0,91,20,3,62,0,7.710926001891494e-05
0,4,25,2,38,1,0.9439828395843506
0,0,0,3,28,1,0.027086136862635612
0,45,5,2,119,1,0.0003515002317726612
0,64,20,2,374,1,0.001475528348237276
0,24,15,3,325,1,0.7574133276939392
0,65,5,2,59,1,0.9948679208755493
0,54,10,2,99,1,0.12656626105308533
0,66,10,2,77,1,7.509217994083883e-06
0,26,25,2,30,1,0.3403494358062744
0,13,15,3,308,1,1.1629280379565898e-05
0,33,15,2,120,1,0.969391942024231
0,76,5,2,51,1,0.8533140420913696
0,4,10,2,38,1,0.026901984587311745
0,40,5,2,327,0,0.033012617379426956
0,52,0,2,374,1,0.9640873670578003
0,63,10,2,38,1,0.011162362061440945
0,32,0,3,104,1,0.8302845358848572
0,25,5,2,346,1,0.04625583067536354
0,40,10,2,327,0,0.994931161403656
0,73,10,2,295,0,0.2643944025039673
0,3,10,3,306,1,0.014752845279872417
0,3,15,3,306,1,0.00745392357930541
0,1,0,3,65,0,1.2731262586385128e-06
0,8,5,2,208,1,0.9953994154930115
0,71,20,3,200,0,0.00011741271737264469
0,65,0,2,59,1,0.8156155347824097
0,42,10,2,385,1,0.02492055855691433
0,78,15,3,142,1,0.00039557594573125243
0,22,15,2,250,1,0.9391152858734131
0,38,20,3,278,1,9.893678907246795e-07
0,41,25,2,344,0,0.00837764423340559
0,2,25,3,156,0,0.002531783189624548
0,28,5,2,404,1,0.000917611934710294
0,27,20,3,366,1,0.9127562642097473
0,9,25,2,230,1,0.24433165788650513
0,1,15,3,65,0,0.006232298910617828
0,91,5,3,62,0,8.294005056086462e-06
0,58,10,2,179,0,0.0012500742450356483
0,9,15,2,230,1,0.9978371262550354
0,17,20,2,416,1,0.9925474524497986
0,88,5,3,229,1,1.6708255612396528e-10
0,22,20,2,250,1,0.014580721966922283
0,10,20,2,251,1,0.9445004463195801
0,65,15,2,59,1,0.013767341151833534
0,59,25,2,235,1,3.754431077140907e-08
0,7,15,2,193,1,0.9996167421340942
0,56,5,2,135,1,0.10373382270336151
0,86,25,3,174,0,1.2785240421919752e-08
0,79,15,3,303,1,0.00011522175191203132
0,70,15,2,181,0,0.8673343658447266
0,68,0,2,148,0,0.025470949709415436
0,80,10,2,119,1,0.3348558843135834
0,56,15,2,135,1,0.9291693568229675
0,1,20,3,65,0,0.01270615216344595
0,91,10,3,62,0,0.0007081301300786436
0,78,5,3,142,1,1.5335968939211853e-08
0,82,15,3,206,1,0.0003761523694265634
0,84,0,2,374,1,0.597745954990387
0,43,20,3,413,1,0.01386473048478365
0,25,20,2,346,1,0.8936269283294678
0,12,15,2,289,1,0.2085341215133667
0,50,5,2,310,1,0.8951261043548584
0,58,15,2,179,0,9.116501132666599e-06
0,64,0,2,374,1,0.05544557794928551
0,89,20,3,285,1,0.0002720409829635173
0,29,0,2,426,1,0.9709331393241882
0,82,20,3,206,1,0.017360869795084
0,87,25,3,195,0,1.0827820862147064e-09
0,31,15,2,88,1,0.1544969230890274
0,22,0,2,250,1,0.09031034260988235
0,81,15,2,183,1,0.9536089301109314
0,53,10,2,393,1,0.8348661065101624
0,65,20,2,59,1,0.00025390670634806156
0,69,0,2,14,1,0.9858103394508362
0,1,5,3,65,0,0.006439835298806429
0,36,25,3,217,0,0.6130451560020447
0,54,20,2,99,1,0.007585130166262388
0,30,15,2,46,1,0.027530483901500702
0,2,0,3,156,0,0.02262791432440281
0,45,0,2,119,1,0.03954838588833809
0,75,10,2,348,0,0.02226072922348976
0,6,15,2,170,1,0.9492189884185791
0,72,10,2,280,1,0.7674198150634766
0,56,20,2,135,1,0.0023149840999394655
0,53,0,2,393,1,0.2532486617565155
0,67,25,2,116,0,0.0009298243094235659
0,92,25,3,82,0,8.276696462417021e-05
0,66,20,2,77,1,5.074499313195702e-06
0,38,15,3,278,1,2.0181880245218053e-05
0,24,25,3,325,1,0.3704339563846588
0,89,5,3,285,1,1.0902690555925076e-10
0,7,5,2,193,1,0.9948421120643616
0,67,10,2,116,0,2.2488854938274017e-06
0,82,5,3,206,1,0.0020617947448045015
0,14,25,2,337,0,0.978434681892395
0,55,25,2,119,1,8.503804565407336e-05
0,10,10,2,251,1,0.8863561749458313
0,3,25,3,306,1,0.13669610023498535
0,83,10,2,241,1,0.001378101296722889
0,27,25,3,366,1,9.308986363976146e-07
0,59,20,2,235,1,0.0014314429135993123
0,51,20,2,355,1,0.0018048030324280262
0,12,5,2,289,1,0.9859235286712646
0,0,10,3,28,1,0.0789470300078392
0,67,20,2,116,0,0.000382660364266485
0,32,15,3,104,1,9.530124225420877e-05
0,37,25,2,266,1,0.2142745554447174
0,75,25,2,348,0,0.9958674907684326
0,81,0,2,183,1,0.00024180777836591005
0,18,15,2,435,1,0.6017459630966187
0,6,0,2,170,1,0.002963761333376169
0,66,15,2,77,1,0.02375015802681446
0,22,25,2,250,1,0.0005209965165704489
0,45,15,2,119,1,0.7136408090591431
0,6,25,2,170,1,0.9977103471755981
0,19,5,3,176,1,0.0003106016374658793
0,3,20,3,306,1,0.03661629185080528
0,35,20,2,17,1,0.9087899327278137
0,48,25,3,29,1,0.002597605111077428
0,21,10,2,211,1,0.9805528521537781
0,93,5,3,310,1,3.025801137424011e-11
0,0,20,3,28,1,0.00029032659949734807
0,73,20,2,295,0,0.014356403611600399
0,55,15,2,119,1,3.2193559036386432e-06
0,21,20,2,211,1,0.00026820090715773404
0,26,0,2,30,1,0.6287422776222229
0,64,10,2,374,1,0.9495027661323547
0,37,5,2,266,1,0.593771755695343
0,86,10,3,174,0,0.0002494797809049487
0,70,20,2,181,0,0.21512582898139954
0,46,15,2,154,1,0.001261209836229682
0,48,0,3,29,1,0.029837073758244514
0,18,0,2,435,1,0.8010976910591125
0,69,20,2,14,1,0.035331591963768005
0,3,0,3,306,1,0.00046807885519228876
0,8,15,2,208,1,0.07505694776773453
0,17,0,2,416,1,0.9984040856361389
0,85,25,2,107,1,0.21480102837085724
0,35,5,2,17,1,0.8993743062019348
0,8,20,2,208,1,0.005484391003847122
0,5,15,2,86,1,0.9527732133865356
0,90,25,3,27,0,4.5035401853965595e-05
0,28,15,2,404,1,0.004156170412898064
0,36,0,3,217,0,1.6672573792675394e-06
0,91,15,3,62,0,8.39373460621573e-05
0,32,10,3,104,1,0.7386888861656189
0,13,5,3,308,1,0.7821895480155945
0,29,5,2,426,1,0.09927181899547577
0,71,0,3,200,0,0.5155717730522156
0,80,25,2,119,1,0.9971619844436646
0,49,0,3,251,0,1.1293136594758835e-05
0,19,25,3,176,1,2.1610152543871664e-05
0,2,10,3,156,0,9.709096957521979e-06
0,58,20,2,179,0,0.06905533373355865
0,26,5,2,30,1,0.019558865576982498
0,42,20,2,385,1,0.00047908848500810564
0,74,25,3,312,1,0.0003021421143785119
0,76,20,2,51,1,0.9000778198242188
0,7,20,2,193,1,0.9990134239196777
0,69,5,2,14,1,0.0014924465212970972
0,87,15,3,195,0,1.2269482096982642e-09
0,67,15,2,116,0,2.41340831053094e-06
0,49,5,3,251,0,1.282889297726797e-05
0,90,0,3,27,0,0.0063259839080274105
0,6,10,2,170,1,0.9900776147842407
0,41,15,2,344,0,0.03945572301745415
0,60,0,2,251,1,0.019614964723587036
0,49,20,3,251,0,0.00098109629470855
0,47,10,2,177,1,0.002337690209969878
0,41,0,2,344,0,0.015339852310717106
0,61,15,2,269,1,0.5828514695167542
0,61,25,2,269,1,3.8546317227883264e-05
0,91,0,3,62,0,1.1286631629303656e-09
0,58,0,2,179,0,0.00209792610257864
0,47,20,2,177,1,0.780351459980011
0,0,5,3,28,1,0.2766711115837097
0,56,25,2,135,1,0.0004627908347174525
0,83,5,2,241,1,1.8521234323998215e-06
0,31,10,2,88,1,0.26188236474990845
0,52,20,2,374,1,0.9354850649833679
0,8,0,2,208,1,6.903685425641015e-05
0,49,10,3,251,0,0.041383691132068634
0,43,10,3,413,1,7.020826160442084e-05
0,16,0,2,385,1,0.7567114233970642
0,27,15,3,366,1,1.5450963473995216e-05
0,60,25,2,251,1,7.95881132944487e-05
0,82,0,3,206,1,0.0010038719046860933
0,56,10,2,135,1,0.4844367802143097
0,15,20,2,371,1,0.9140061140060425
0,72,20,2,280,1,0.9206876754760742
0,93,20,3,310,1,2.0974962045006151e-10
0,39,5,3,308,1,0.006842049770057201
0,62,0,2,342,1,0.99505615234375
0,50,10,2,310,1,0.00046246140846051276
0,17,10,2,416,1,0.9996708631515503
0,16,20,2,385,1,0.9680855870246887
0,64,5,2,374,1,0.4147988557815552
0,11,25,2,274,0,0.9994437098503113
0,34,20,2,157,1,0.35017120838165283
0,9,5,2,230,1,0.1596374660730362
0,35,15,2,17,1,0.9502091407775879
0,38,0,3,278,1,0.01792910508811474
0,64,25,2,374,1,2.7123049221700057e-05
0,83,20,2,241,1,0.0034782274160534143
0,46,0,2,154,1,2.626243222891844e-09
0,69,25,2,14,1,0.08791256695985794
0,27,0,3,366,1,0.25440913438796997
0,40,20,2,327,0,1.0480631118525707e-07
0,68,20,2,148,0,0.38402408361434937
0,84,25,2,374,1,5.9996764321113005e-05
0,54,15,2,99,1,0.6581873297691345
0,24,10,3,325,1,0.0860869511961937
0,28,25,2,404,1,0.0008875427301973104
0,11,15,2,274,0,0.9937297105789185
0,46,20,2,154,1,0.0004895253223367035
0,12,25,2,289,1,0.7305076122283936
0,59,15,2,235,1,0.001281053526327014
0,23,15,3,286,1,0.0164629016071558
0,25,15,2,346,1,0.039438702166080475
0,5,25,2,86,1,0.20558632910251617
0,65,10,2,59,1,0.802356481552124
0,39,10,3,308,1,0.3164779543876648
0,36,20,3,217,0,0.0001670170750003308
0,41,5,2,344,0,0.3377325236797333
0,44,15,2,429,0,0.8704959154129028
0,53,5,2,393,1,0.030908260494470596
0,56,0,2,135,1,0.05305541679263115
0,84,5,2,374,1,0.00010072092118207365
0,83,15,2,241,1,0.0009003552841022611
0,4,20,2,38,1,0.020351482555270195
0,66,5,2,77,1,7.259163794515189e-06
0,7,0,2,193,1,0.6813997626304626
0,59,0,2,235,1,0.01021928433328867
0,46,25,2,154,1,0.505967378616333
0,71,25,3,200,0,0.020303115248680115
0,51,10,2,355,1,0.000450841907877475
0,93,10,3,310,1,5.567417247220874e-06
0,86,20,3,174,0,0.00014979213301558048
0,52,10,2,374,1,0.9474422335624695
0,29,15,2,426,1,0.7134627103805542
0,63,5,2,38,1,0.04563778266310692
0,57,10,3,155,1,2.9579842930615996e-07
0,35,0,2,17,1,0.35963863134384155
0,38,25,3,278,1,4.1239357528866094e-07
0,44,25,2,429,0,0.00036669388646259904
0,79,10,3,303,1,1.0858540917979553e-05
0,55,0,2,119,1,0.32197999954223633
0,62,10,2,342,1,0.8147178292274475
0,4,5,2,38,1,0.7220694422721863
0,88,20,3,229,1,2.846983759852151e-09
0,24,5,3,325,1,0.23261745274066925
0,16,5,2,385,1,0.6148655414581299
0,48,15,3,29,1,0.2121557891368866
0,11,0,2,274,0,0.4776500165462494
0,52,15,2,374,1,0.0012746613938361406
0,20,10,3,193,0,0.08992776274681091
0,84,10,2,374,1,2.352531282667769e-06
0,42,5,2,385,1,0.9993577599525452
0,79,0,3,303,1,3.557853779057041e-05
0,51,0,2,355,1,0.17892929911613464
0,84,20,2,374,1,1.4066681330859865e-07
0,88,15,3,229,1,4.840374435765909e-15
0,85,0,2,107,1,0.5759158730506897
0,22,5,2,250,1,0.13066251575946808
0,38,5,3,278,1,3.503522520986735e-07
0,3,5,3,306,1,0.001522735459730029
0,4,0,2,38,1,0.48893240094184875
0,50,20,2,310,1,0.8762609362602234
0,15,25,2,371,1,0.920031726360321
0,53,20,2,393,1,0.37995949387550354
0,28,20,2,404,1,0.9667473435401917
0,39,0,3,308,1,2.091672390847066e-09
0,85,5,2,107,1,0.8703219890594482
0,66,25,2,77,1,7.370019739028066e-05
0,33,5,2,120,1,0.9998282194137573
0,37,15,2,266,1,0.8945579528808594
0,84,15,2,374,1,0.00019911228446289897
0,88,10,3,229,1,1.0206033812672731e-14
0,26,20,2,30,1,0.9029991030693054
0,29,20,2,426,1,0.9998937845230103
0,29,10,2,426,1,0.8661113381385803
0,47,0,2,177,1,6.250496880966239e-06
0,60,20,2,251,1,0.029100341722369194
0,32,20,3,104,1,0.0017877791542559862
0,14,15,2,337,0,0.010700378566980362
0,28,10,2,404,1,0.1608901470899582
0,12,0,2,289,1,0.8586347103118896
0,13,0,3,308,1,1.556182724016253e-05
0,67,5,2,116,0,7.438548436766723e-06
0,81,20,2,183,1,0.9997710585594177
0,21,0,2,211,1,0.9983921647071838
0,39,15,3,308,1,2.3852743424868095e-07
0,33,0,2,120,1,0.99764484167099
0,62,15,2,342,1,0.4325818121433258
0,18,20,2,435,1,0.240163654088974
