epoch training validation
-1 4.7808 4.7953
0 4.7815 4.7954
1 4.7812 4.7963
2 1.4504 0.7289
3 0.5956 0.4942
4 0.4159 0.3553
5 0.3045 0.2706
6 0.2538 0.2405
7 0.2305 0.2230
8 0.2168 0.2136
9 0.2071 0.2036
10 0.1998 0.1972
11 0.1935 0.1921
12 0.1876 0.1845
13 0.1809 0.1797
14 0.1743 0.1723
15 0.1679 0.1653
16 0.1623 0.1597
17 0.1572 0.1556
18 0.1524 0.1500
19 0.1484 0.1485
20 0.1448 0.1435
21 0.1414 0.1401
22 0.1386 0.1372
23 0.1355 0.1342
24 0.1332 0.1323
25 0.1308 0.1307
26 0.1286 0.1279
27 0.1269 0.1262
28 0.1251 0.1248
29 0.1237 0.1230
30 0.1221 0.1217
31 0.1207 0.1201
32 0.1195 0.1189
33 0.1183 0.1192
34 0.1169 0.1167
35 0.1158 0.1157
36 0.1147 0.1148
37 0.1136 0.1137
38 0.1127 0.1129
39 0.1116 0.1118
40 0.1107 0.1106
41 0.1098 0.1097
42 0.1091 0.1085
43 0.1082 0.1078
44 0.1074 0.1077
45 0.1067 0.1068
46 0.1061 0.1054
47 0.1053 0.1053
48 0.1045 0.1045
49 0.1039 0.1039
50 0.1035 0.1034
51 0.1026 0.1026
52 0.1022 0.1019
53 0.1014 0.1017
54 0.1011 0.1021
55 0.1005 0.1009
56 0.0999 0.1000
57 0.0993 0.1000
58 0.0989 0.1013
59 0.0984 0.0986
60 0.0979 0.0981
61 0.0974 0.0978
62 0.0971 0.0972
63 0.0967 0.0966
64 0.0962 0.0965
65 0.0957 0.0961
66 0.0954 0.0955
67 0.0950 0.0964
68 0.0946 0.0945
69 0.0943 0.0941
70 0.0940 0.0939
71 0.0936 0.0942
72 0.0933 0.0941
73 0.0928 0.0930
74 0.0925 0.0932
75 0.0921 0.0922
76 0.0918 0.0928
77 0.0915 0.0915
78 0.0912 0.0925
79 0.0908 0.0917
80 0.0906 0.0909
81 0.0904 0.0908
82 0.0902 0.0907
83 0.0897 0.0903
84 0.0894 0.0892
85 0.0892 0.0897
86 0.0890 0.0897
87 0.0886 0.0890
88 0.0884 0.0888
89 0.0881 0.0885
90 0.0879 0.0891
91 0.0877 0.0885
92 0.0873 0.0876
93 0.0871 0.0876
94 0.0870 0.0870
95 0.0866 0.0868
96 0.0864 0.0865
97 0.0862 0.0869
98 0.0860 0.0865
99 0.0858 0.0859
100 0.0855 0.0856
101 0.0853 0.0856
102 0.0851 0.0854
103 0.0849 0.0856
104 0.0846 0.0855
105 0.0845 0.0848
106 0.0843 0.0844
107 0.0841 0.0841
108 0.0839 0.0842
109 0.0837 0.0844
110 0.0836 0.0843
111 0.0833 0.0844
112 0.0831 0.0836
113 0.0831 0.0830
114 0.0828 0.0832
115 0.0828 0.0829
116 0.0823 0.0827
117 0.0822 0.0828
118 0.0822 0.0824
119 0.0820 0.0819
120 0.0818 0.0822
121 0.0817 0.0821
122 0.0814 0.0819
123 0.0814 0.0816
124 0.0810 0.0818
125 0.0810 0.0816
126 0.0809 0.0813
127 0.0807 0.0812
128 0.0805 0.0809
129 0.0804 0.0804
130 0.0802 0.0805
131 0.0800 0.0801
132 0.0800 0.0802
133 0.0798 0.0806
134 0.0796 0.0799
135 0.0796 0.0797
136 0.0794 0.0797
137 0.0793 0.0797
138 0.0790 0.0802
139 0.0789 0.0797
140 0.0788 0.0789
141 0.0787 0.0793
142 0.0786 0.0790
143 0.0785 0.0789
144 0.0784 0.0786
145 0.0782 0.0783
146 0.0781 0.0784
147 0.0780 0.0780
148 0.0779 0.0783
149 0.0777 0.0789
150 0.0777 0.0776
151 0.0775 0.0784
152 0.0775 0.0777
153 0.0774 0.0771
154 0.0773 0.0773
155 0.0771 0.0771
156 0.0771 0.0779
157 0.0770 0.0773
158 0.0768 0.0769
159 0.0767 0.0766
160 0.0767 0.0769
161 0.0766 0.0764
162 0.0764 0.0771
163 0.0763 0.0771
164 0.0762 0.0764
165 0.0761 0.0760
166 0.0759 0.0765
167 0.0759 0.0765
168 0.0758 0.0764
169 0.0758 0.0758
170 0.0757 0.0759
171 0.0756 0.0760
172 0.0754 0.0761
173 0.0755 0.0758
174 0.0754 0.0759
175 0.0753 0.0756
176 0.0751 0.0747
177 0.0750 0.0752
178 0.0749 0.0755
179 0.0747 0.0753
180 0.0749 0.0752
181 0.0747 0.0754
182 0.0747 0.0747
183 0.0745 0.0750
184 0.0745 0.0758
185 0.0745 0.0748
186 0.0743 0.0746
187 0.0743 0.0743
188 0.0741 0.0743
189 0.0742 0.0746
190 0.0740 0.0740
191 0.0740 0.0746
192 0.0739 0.0744
193 0.0738 0.0739
194 0.0739 0.0743
195 0.0738 0.0736
196 0.0735 0.0743
197 0.0735 0.0737
198 0.0736 0.0738
199 0.0735 0.0738
200 0.0732 0.0742
