epoch training validation
-1 3.5889 3.5871
0 3.5888 3.5871
1 3.5889 3.5871
2 2.2388 1.9609
3 0.8314 1.1166
4 0.5898 0.9621
5 0.5063 0.9375
6 0.4562 1.0557
7 0.4231 0.9649
8 0.4013 0.9825
9 0.3876 0.8743
10 0.3756 0.9264
11 0.3652 0.8439
12 0.3566 0.8224
13 0.3488 0.7311
14 0.3402 0.6908
15 0.3332 0.6588
16 0.3259 0.5948
17 0.3204 0.5089
18 0.3141 0.4219
19 0.3088 0.3819
20 0.3046 0.3627
21 0.3007 0.3350
22 0.2977 0.3426
23 0.2952 0.3134
24 0.2933 0.3212
25 0.2918 0.2783
26 0.2886 0.3006
27 0.2882 0.2763
28 0.2867 0.3077
29 0.2862 0.2812
30 0.2852 0.2627
31 0.2838 0.2690
32 0.2830 0.2787
33 0.2822 0.2860
34 0.2819 0.2770
35 0.2818 0.2502
36 0.2812 0.2775
37 0.2804 0.3175
38 0.2793 0.2493
39 0.2791 0.2740
40 0.2786 0.2468
41 0.2783 0.2747
42 0.2779 0.2943
43 0.2765 0.2667
44 0.2766 0.2584
45 0.2765 0.2818
46 0.2753 0.2623
47 0.2758 0.2824
48 0.2741 0.2506
49 0.2747 0.3137
50 0.2746 0.2750
51 0.2740 0.2707
52 0.2735 0.3125
53 0.2729 0.2784
54 0.2728 0.2713
55 0.2731 0.2791
56 0.2729 0.3067
57 0.2718 0.2686
58 0.2715 0.2995
59 0.2717 0.2756
60 0.2709 0.2694
61 0.2703 0.3464
62 0.2704 0.2979
63 0.2704 0.2972
64 0.2701 0.3062
65 0.2690 0.3061
66 0.2699 0.3546
67 0.2692 0.3291
68 0.2694 0.3076
69 0.2687 0.2829
70 0.2680 0.3384
71 0.2683 0.3075
72 0.2682 0.3575
73 0.2678 0.3828
74 0.2674 0.3263
75 0.2673 0.3364
76 0.2663 0.3330
77 0.2664 0.3072
78 0.2664 0.3396
79 0.2658 0.3245
80 0.2657 0.3806
81 0.2656 0.3389
82 0.2657 0.3240
83 0.2655 0.3624
84 0.2649 0.3540
85 0.2638 0.3281
86 0.2646 0.3220
87 0.2647 0.3294
88 0.2640 0.3365
89 0.2642 0.3408
90 0.2638 0.3577
91 0.2636 0.3497
92 0.2628 0.3813
93 0.2625 0.3750
94 0.2631 0.3690
95 0.2623 0.3680
96 0.2621 0.3681
97 0.2626 0.3438
98 0.2615 0.3582
99 0.2614 0.3781
100 0.2615 0.3758
101 0.2609 0.3658
102 0.2609 0.4077
103 0.2612 0.3922
104 0.2603 0.3663
105 0.2608 0.3897
106 0.2601 0.4028
107 0.2600 0.3937
108 0.2599 0.4290
109 0.2605 0.3940
110 0.2594 0.4075
111 0.2594 0.3958
112 0.2599 0.4246
113 0.2585 0.4182
114 0.2589 0.4372
115 0.2588 0.3957
116 0.2576 0.3947
117 0.2579 0.4540
118 0.2583 0.4312
119 0.2575 0.4037
120 0.2576 0.4107
121 0.2578 0.4219
122 0.2577 0.4317
123 0.2573 0.4073
124 0.2571 0.4274
125 0.2568 0.4284
126 0.2565 0.4570
127 0.2567 0.4303
128 0.2560 0.4267
129 0.2562 0.4363
130 0.2559 0.4197
131 0.2559 0.4350
132 0.2559 0.4219
133 0.2558 0.4478
134 0.2555 0.4594
135 0.2554 0.4483
136 0.2556 0.4692
137 0.2558 0.4451
138 0.2544 0.4658
139 0.2555 0.4429
140 0.2550 0.4861
141 0.2544 0.4569
142 0.2549 0.4750
143 0.2550 0.4830
144 0.2542 0.4784
145 0.2540 0.4880
146 0.2541 0.4692
147 0.2537 0.4835
148 0.2538 0.4832
149 0.2534 0.4888
150 0.2537 0.4767
151 0.2536 0.4621
152 0.2532 0.4706
153 0.2533 0.4871
154 0.2527 0.4721
155 0.2528 0.4773
156 0.2526 0.4898
157 0.2527 0.5158
158 0.2529 0.5041
159 0.2523 0.4855
160 0.2524 0.4972
161 0.2523 0.4968
162 0.2518 0.5261
163 0.2516 0.4942
164 0.2518 0.5044
165 0.2515 0.5060
166 0.2520 0.4964
167 0.2517 0.5100
168 0.2516 0.5089
169 0.2511 0.5106
170 0.2514 0.5001
171 0.2514 0.5369
172 0.2509 0.5387
173 0.2505 0.5200
174 0.2507 0.5188
175 0.2508 0.5250
176 0.2507 0.5247
177 0.2509 0.5247
178 0.2504 0.5204
179 0.2497 0.5349
180 0.2504 0.5281
181 0.2498 0.5216
182 0.2501 0.5192
183 0.2493 0.5327
184 0.2494 0.5263
185 0.2501 0.5522
186 0.2495 0.5412
187 0.2499 0.5555
188 0.2492 0.5449
189 0.2493 0.5347
190 0.2492 0.5273
191 0.2490 0.5483
192 0.2490 0.5517
193 0.2484 0.5551
194 0.2489 0.5712
195 0.2492 0.5633
196 0.2488 0.5598
197 0.2486 0.5709
198 0.2484 0.5526
199 0.2481 0.5684
200 0.2479 0.5719
