epoch training validation
-1 4.5180 3.7407
0 4.5179 3.7407
1 4.5180 3.7407
2 1.5674 0.4818
3 0.5763 0.3892
4 0.4394 0.2891
5 0.3294 0.2376
6 0.2681 0.2114
7 0.2334 0.1986
8 0.2171 0.1929
9 0.2077 0.1865
10 0.2003 0.1815
11 0.1949 0.1779
12 0.1908 0.1750
13 0.1878 0.1723
14 0.1853 0.1701
15 0.1831 0.1676
16 0.1809 0.1656
17 0.1792 0.1640
18 0.1779 0.1628
19 0.1765 0.1618
20 0.1753 0.1605
21 0.1741 0.1590
22 0.1731 0.1582
23 0.1723 0.1574
24 0.1715 0.1569
25 0.1709 0.1562
26 0.1703 0.1556
27 0.1700 0.1550
28 0.1695 0.1542
29 0.1689 0.1537
30 0.1684 0.1537
31 0.1682 0.1529
32 0.1680 0.1532
33 0.1672 0.1524
34 0.1670 0.1521
35 0.1669 0.1515
36 0.1665 0.1511
37 0.1661 0.1510
38 0.1659 0.1509
39 0.1657 0.1500
40 0.1653 0.1502
41 0.1654 0.1500
42 0.1651 0.1496
43 0.1648 0.1492
44 0.1646 0.1488
45 0.1645 0.1488
46 0.1642 0.1486
47 0.1638 0.1484
48 0.1638 0.1479
49 0.1636 0.1477
50 0.1633 0.1477
51 0.1631 0.1471
52 0.1631 0.1470
53 0.1629 0.1465
54 0.1625 0.1464
55 0.1626 0.1463
56 0.1622 0.1462
57 0.1619 0.1459
58 0.1619 0.1460
59 0.1619 0.1456
60 0.1617 0.1454
61 0.1611 0.1452
62 0.1613 0.1454
63 0.1610 0.1453
64 0.1609 0.1450
65 0.1608 0.1457
66 0.1609 0.1445
67 0.1605 0.1444
68 0.1603 0.1444
69 0.1603 0.1443
70 0.1602 0.1441
71 0.1599 0.1439
72 0.1599 0.1437
73 0.1598 0.1437
74 0.1597 0.1438
75 0.1597 0.1437
76 0.1594 0.1432
77 0.1593 0.1432
78 0.1591 0.1428
79 0.1591 0.1430
80 0.1590 0.1424
81 0.1589 0.1428
82 0.1588 0.1426
83 0.1586 0.1424
84 0.1586 0.1424
85 0.1586 0.1424
86 0.1584 0.1420
87 0.1582 0.1415
88 0.1582 0.1422
89 0.1579 0.1415
90 0.1581 0.1422
91 0.1579 0.1416
92 0.1580 0.1420
93 0.1578 0.1411
94 0.1577 0.1413
95 0.1575 0.1411
96 0.1574 0.1407
97 0.1574 0.1407
98 0.1572 0.1408
99 0.1572 0.1407
100 0.1570 0.1407
101 0.1568 0.1399
102 0.1570 0.1402
103 0.1567 0.1403
104 0.1568 0.1403
105 0.1566 0.1399
106 0.1564 0.1403
107 0.1564 0.1399
108 0.1564 0.1397
109 0.1564 0.1395
110 0.1561 0.1393
111 0.1561 0.1398
112 0.1559 0.1395
113 0.1560 0.1398
114 0.1559 0.1393
115 0.1557 0.1390
116 0.1557 0.1389
117 0.1556 0.1391
118 0.1556 0.1389
119 0.1554 0.1393
120 0.1552 0.1388
121 0.1554 0.1388
122 0.1554 0.1382
123 0.1552 0.1383
124 0.1551 0.1380
125 0.1549 0.1383
126 0.1551 0.1381
127 0.1549 0.1382
128 0.1547 0.1376
129 0.1548 0.1383
130 0.1546 0.1378
131 0.1547 0.1380
132 0.1547 0.1376
133 0.1545 0.1380
134 0.1546 0.1377
135 0.1545 0.1376
136 0.1542 0.1376
137 0.1542 0.1375
138 0.1542 0.1373
139 0.1539 0.1371
140 0.1540 0.1373
141 0.1540 0.1372
142 0.1540 0.1369
143 0.1538 0.1368
144 0.1539 0.1368
145 0.1538 0.1367
146 0.1538 0.1368
147 0.1537 0.1366
148 0.1539 0.1367
149 0.1536 0.1367
150 0.1535 0.1366
151 0.1533 0.1362
152 0.1533 0.1362
153 0.1533 0.1365
154 0.1532 0.1360
155 0.1532 0.1369
156 0.1533 0.1361
157 0.1531 0.1360
158 0.1530 0.1363
159 0.1531 0.1358
160 0.1531 0.1359
161 0.1531 0.1359
162 0.1528 0.1356
163 0.1529 0.1360
164 0.1529 0.1357
165 0.1526 0.1355
166 0.1527 0.1357
167 0.1527 0.1354
168 0.1525 0.1356
169 0.1523 0.1353
170 0.1523 0.1354
171 0.1524 0.1353
172 0.1522 0.1353
173 0.1521 0.1351
174 0.1522 0.1351
175 0.1523 0.1352
176 0.1522 0.1352
177 0.1521 0.1350
178 0.1519 0.1353
179 0.1521 0.1350
180 0.1519 0.1347
181 0.1520 0.1349
182 0.1518 0.1347
183 0.1519 0.1347
184 0.1517 0.1350
185 0.1517 0.1347
186 0.1517 0.1347
187 0.1517 0.1346
188 0.1517 0.1343
189 0.1516 0.1345
190 0.1515 0.1345
191 0.1516 0.1345
192 0.1517 0.1346
193 0.1515 0.1344
194 0.1513 0.1346
195 0.1515 0.1343
196 0.1514 0.1340
197 0.1513 0.1345
198 0.1513 0.1342
199 0.1512 0.1342
200 0.1511 0.1340
