epoch training validation
-1 4.5419 4.5559
0 4.5420 4.5560
1 4.5421 4.5563
2 1.4735 0.7559
3 0.6444 0.5606
4 0.4962 0.4436
5 0.3905 0.3547
6 0.3276 0.3103
7 0.2985 0.2953
8 0.2832 0.2768
9 0.2741 0.2694
10 0.2670 0.2647
11 0.2606 0.2593
12 0.2550 0.2520
13 0.2500 0.2472
14 0.2460 0.2441
15 0.2425 0.2413
16 0.2393 0.2402
17 0.2364 0.2357
18 0.2336 0.2374
19 0.2305 0.2316
20 0.2275 0.2275
21 0.2247 0.2268
22 0.2223 0.2215
23 0.2199 0.2186
24 0.2179 0.2192
25 0.2159 0.2160
26 0.2143 0.2141
27 0.2127 0.2142
28 0.2113 0.2114
29 0.2098 0.2090
30 0.2084 0.2081
31 0.2071 0.2078
32 0.2058 0.2056
33 0.2045 0.2044
34 0.2029 0.2029
35 0.2016 0.2013
36 0.2002 0.2005
37 0.1989 0.1981
38 0.1977 0.1973
39 0.1962 0.1970
40 0.1951 0.1946
41 0.1941 0.1941
42 0.1929 0.1937
43 0.1919 0.1919
44 0.1910 0.1917
45 0.1901 0.1906
46 0.1892 0.1890
47 0.1883 0.1884
48 0.1874 0.1876
49 0.1866 0.1872
50 0.1860 0.1856
51 0.1851 0.1863
52 0.1844 0.1843
53 0.1836 0.1841
54 0.1829 0.1829
55 0.1822 0.1829
56 0.1817 0.1816
57 0.1810 0.1814
58 0.1803 0.1813
59 0.1798 0.1808
60 0.1791 0.1799
61 0.1786 0.1790
62 0.1780 0.1780
63 0.1776 0.1778
64 0.1770 0.1776
65 0.1764 0.1765
66 0.1759 0.1764
67 0.1754 0.1757
68 0.1750 0.1749
69 0.1746 0.1747
70 0.1741 0.1743
71 0.1736 0.1746
72 0.1731 0.1743
73 0.1727 0.1727
74 0.1724 0.1729
75 0.1719 0.1722
76 0.1715 0.1721
77 0.1710 0.1722
78 0.1707 0.1716
79 0.1703 0.1723
80 0.1700 0.1704
81 0.1695 0.1707
82 0.1693 0.1699
83 0.1689 0.1699
84 0.1684 0.1691
85 0.1681 0.1682
86 0.1678 0.1684
87 0.1675 0.1692
88 0.1670 0.1679
89 0.1668 0.1671
90 0.1664 0.1673
91 0.1662 0.1666
92 0.1658 0.1663
93 0.1655 0.1656
94 0.1651 0.1656
95 0.1649 0.1657
96 0.1646 0.1656
97 0.1641 0.1651
98 0.1640 0.1654
99 0.1639 0.1643
100 0.1634 0.1640
101 0.1631 0.1635
102 0.1629 0.1634
103 0.1625 0.1650
104 0.1623 0.1635
105 0.1621 0.1623
106 0.1617 0.1632
107 0.1616 0.1620
108 0.1614 0.1618
109 0.1611 0.1618
110 0.1609 0.1629
111 0.1606 0.1617
112 0.1603 0.1616
113 0.1603 0.1611
114 0.1599 0.1600
115 0.1597 0.1612
116 0.1594 0.1604
117 0.1593 0.1600
118 0.1589 0.1599
119 0.1589 0.1591
120 0.1586 0.1594
121 0.1583 0.1588
122 0.1581 0.1585
123 0.1579 0.1585
124 0.1577 0.1584
125 0.1576 0.1586
126 0.1574 0.1581
127 0.1572 0.1585
128 0.1570 0.1577
129 0.1569 0.1571
130 0.1565 0.1572
131 0.1563 0.1573
132 0.1562 0.1565
133 0.1560 0.1566
134 0.1558 0.1560
135 0.1557 0.1572
136 0.1554 0.1563
137 0.1554 0.1561
138 0.1550 0.1561
139 0.1549 0.1557
140 0.1547 0.1554
141 0.1545 0.1547
142 0.1544 0.1552
143 0.1542 0.1550
144 0.1540 0.1550
145 0.1538 0.1541
146 0.1537 0.1540
147 0.1535 0.1540
148 0.1533 0.1542
149 0.1531 0.1541
150 0.1530 0.1535
151 0.1527 0.1538
152 0.1527 0.1534
153 0.1525 0.1531
154 0.1523 0.1535
155 0.1521 0.1530
156 0.1520 0.1529
157 0.1518 0.1528
158 0.1517 0.1522
159 0.1514 0.1521
160 0.1513 0.1520
161 0.1512 0.1519
162 0.1509 0.1517
163 0.1508 0.1523
164 0.1507 0.1514
165 0.1506 0.1512
166 0.1504 0.1513
167 0.1503 0.1507
168 0.1500 0.1519
169 0.1500 0.1505
170 0.1499 0.1508
171 0.1497 0.1503
172 0.1495 0.1504
173 0.1494 0.1504
174 0.1494 0.1498
175 0.1492 0.1498
176 0.1491 0.1503
177 0.1489 0.1497
178 0.1487 0.1498
179 0.1486 0.1495
180 0.1485 0.1497
181 0.1485 0.1491
182 0.1483 0.1488
183 0.1482 0.1490
184 0.1480 0.1485
185 0.1479 0.1484
186 0.1478 0.1493
187 0.1477 0.1489
188 0.1475 0.1483
189 0.1475 0.1488
190 0.1473 0.1481
191 0.1473 0.1482
192 0.1471 0.1482
193 0.1469 0.1473
194 0.1469 0.1471
195 0.1468 0.1477
196 0.1466 0.1479
197 0.1465 0.1475
198 0.1465 0.1479
199 0.1463 0.1471
200 0.1462 0.1471
