epoch training validation
-1 4.4752 4.4760
0 4.4753 4.4753
1 4.4754 4.4753
2 1.8781 1.1164
3 0.9993 0.9172
4 0.7771 0.5470
5 0.4320 0.3596
6 0.3186 0.2875
7 0.2723 0.2564
8 0.2517 0.2427
9 0.2394 0.2334
10 0.2312 0.2283
11 0.2258 0.2230
12 0.2217 0.2189
13 0.2181 0.2160
14 0.2153 0.2127
15 0.2128 0.2101
16 0.2103 0.2104
17 0.2082 0.2073
18 0.2063 0.2040
19 0.2041 0.2024
20 0.2024 0.2003
21 0.2007 0.1982
22 0.1987 0.1954
23 0.1967 0.1980
24 0.1946 0.1923
25 0.1925 0.1899
26 0.1907 0.1880
27 0.1888 0.1870
28 0.1874 0.1862
29 0.1855 0.1834
30 0.1837 0.1820
31 0.1822 0.1811
32 0.1808 0.1793
33 0.1791 0.1800
34 0.1779 0.1773
35 0.1763 0.1751
36 0.1751 0.1729
37 0.1740 0.1724
38 0.1727 0.1719
39 0.1716 0.1702
40 0.1704 0.1685
41 0.1693 0.1687
42 0.1683 0.1657
43 0.1669 0.1672
44 0.1661 0.1648
45 0.1651 0.1640
46 0.1639 0.1625
47 0.1629 0.1613
48 0.1618 0.1610
49 0.1611 0.1589
50 0.1601 0.1581
51 0.1591 0.1578
52 0.1582 0.1576
53 0.1575 0.1558
54 0.1565 0.1557
55 0.1556 0.1541
56 0.1549 0.1535
57 0.1540 0.1528
58 0.1533 0.1528
59 0.1524 0.1512
60 0.1517 0.1510
61 0.1509 0.1500
62 0.1500 0.1510
63 0.1496 0.1493
64 0.1486 0.1482
65 0.1480 0.1475
66 0.1471 0.1467
67 0.1466 0.1458
68 0.1458 0.1452
69 0.1450 0.1440
70 0.1445 0.1432
71 0.1435 0.1444
72 0.1433 0.1417
73 0.1424 0.1414
74 0.1418 0.1409
75 0.1411 0.1399
76 0.1407 0.1401
77 0.1400 0.1396
78 0.1395 0.1402
79 0.1390 0.1405
80 0.1384 0.1376
81 0.1378 0.1371
82 0.1373 0.1366
83 0.1368 0.1372
84 0.1365 0.1357
85 0.1360 0.1352
86 0.1353 0.1346
87 0.1351 0.1345
88 0.1347 0.1341
89 0.1340 0.1339
90 0.1337 0.1339
91 0.1332 0.1327
92 0.1329 0.1321
93 0.1324 0.1323
94 0.1321 0.1320
95 0.1317 0.1310
96 0.1312 0.1305
97 0.1310 0.1309
98 0.1305 0.1300
99 0.1299 0.1297
100 0.1298 0.1297
101 0.1295 0.1282
102 0.1290 0.1286
103 0.1286 0.1281
104 0.1282 0.1281
105 0.1280 0.1274
106 0.1277 0.1273
107 0.1273 0.1272
108 0.1269 0.1268
109 0.1263 0.1255
110 0.1261 0.1264
111 0.1258 0.1252
112 0.1257 0.1266
113 0.1251 0.1245
114 0.1250 0.1250
115 0.1247 0.1248
116 0.1242 0.1244
117 0.1238 0.1238
118 0.1236 0.1230
119 0.1232 0.1232
120 0.1230 0.1226
121 0.1228 0.1236
122 0.1224 0.1221
123 0.1220 0.1219
124 0.1216 0.1214
125 0.1214 0.1211
126 0.1212 0.1220
127 0.1208 0.1213
128 0.1205 0.1214
129 0.1203 0.1198
130 0.1202 0.1200
131 0.1199 0.1197
132 0.1197 0.1201
133 0.1192 0.1197
134 0.1192 0.1204
135 0.1188 0.1187
136 0.1186 0.1184
137 0.1184 0.1181
138 0.1180 0.1183
139 0.1178 0.1178
140 0.1178 0.1181
141 0.1174 0.1175
142 0.1172 0.1168
143 0.1168 0.1167
144 0.1167 0.1171
145 0.1164 0.1165
146 0.1161 0.1178
147 0.1162 0.1157
148 0.1159 0.1155
149 0.1157 0.1152
150 0.1155 0.1153
151 0.1152 0.1155
152 0.1150 0.1155
153 0.1149 0.1141
154 0.1146 0.1146
155 0.1144 0.1144
156 0.1141 0.1151
157 0.1140 0.1143
158 0.1139 0.1145
159 0.1134 0.1135
160 0.1135 0.1149
161 0.1133 0.1132
162 0.1130 0.1129
163 0.1130 0.1131
164 0.1128 0.1130
165 0.1126 0.1119
166 0.1126 0.1131
167 0.1119 0.1129
168 0.1122 0.1127
169 0.1118 0.1123
170 0.1117 0.1119
171 0.1115 0.1116
172 0.1113 0.1113
173 0.1113 0.1114
174 0.1110 0.1110
175 0.1108 0.1108
176 0.1106 0.1106
177 0.1106 0.1115
178 0.1103 0.1104
179 0.1102 0.1102
180 0.1099 0.1107
181 0.1099 0.1103
182 0.1099 0.1101
183 0.1097 0.1099
184 0.1094 0.1102
185 0.1094 0.1097
186 0.1090 0.1096
187 0.1089 0.1089
188 0.1089 0.1095
189 0.1088 0.1090
190 0.1086 0.1090
191 0.1086 0.1094
192 0.1084 0.1087
193 0.1083 0.1080
194 0.1081 0.1089
195 0.1079 0.1091
196 0.1076 0.1084
197 0.1076 0.1077
198 0.1077 0.1084
199 0.1076 0.1075
200 0.1071 0.1075
