epoch training validation
0 6.2185 6.2615
1 4.5988 4.4627
2 4.4463 4.4204
3 4.4183 4.3856
4 4.4056 4.3741
5 4.3908 4.3517
6 4.3838 4.3524
7 4.3787 4.3464
8 4.3757 4.3439
9 4.3734 4.3433
10 4.3708 4.3426
11 4.3704 4.3390
12 4.3683 4.3409
13 4.3665 4.3391
14 4.3634 4.3418
15 4.3594 4.3321
16 4.3576 4.3291
17 4.3555 4.3301
18 4.3539 4.3218
19 4.3521 4.3236
20 4.3518 4.3305
21 4.3512 4.3190
22 4.3502 4.3221
23 4.3493 4.3196
24 4.3484 4.3183
25 4.3464 4.3170
26 4.3449 4.3182
27 4.3440 4.3148
28 4.3440 4.3110
29 4.3420 4.3101
30 4.3403 4.3078
31 4.3408 4.3124
32 4.3393 4.3106
33 4.3376 4.3083
34 4.3371 4.3067
35 4.3355 4.3039
36 4.3359 4.3050
37 4.3348 4.3028
38 4.3342 4.3017
39 4.3330 4.3021
40 4.3323 4.3013
41 4.3308 4.3008
42 4.3313 4.3000
43 4.3305 4.3009
44 4.3291 4.2999
45 4.3290 4.3030
46 4.3288 4.2974
47 4.3282 4.2988
48 4.3270 4.2977
49 4.3266 4.2967
50 4.3267 4.2993
51 4.3264 4.2956
52 4.3259 4.2968
53 4.3251 4.2969
54 4.3249 4.2968
55 4.3250 4.2945
56 4.3249 4.2943
57 4.3236 4.2957
58 4.3232 4.2964
59 4.3233 4.2951
60 4.3235 4.2964
61 4.3230 4.2951
62 4.3224 4.2929
63 4.3223 4.2943
64 4.3213 4.2933
65 4.3215 4.2954
66 4.3213 4.2971
67 4.3207 4.2927
68 4.3207 4.2928
69 4.3208 4.2924
70 4.3204 4.2919
71 4.3204 4.2938
72 4.3197 4.2933
73 4.3194 4.2965
74 4.3203 4.2916
75 4.3191 4.2912
76 4.3181 4.2922
77 4.3185 4.2901
78 4.3183 4.2930
79 4.3184 4.2924
80 4.3176 4.2919
81 4.3183 4.2934
82 4.3177 4.2915
83 4.3175 4.2900
84 4.3172 4.2919
85 4.3179 4.2906
86 4.3167 4.2895
87 4.3170 4.2902
88 4.3165 4.2906
89 4.3163 4.2917
90 4.3160 4.2908
91 4.3169 4.2910
92 4.3161 4.2898
93 4.3160 4.2930
94 4.3152 4.2894
95 4.3156 4.2908
96 4.3159 4.2917
97 4.3160 4.2928
98 4.3116 4.2849
99 4.3097 4.2854
100 4.3093 4.2847
101 4.3090 4.2848
102 4.3089 4.2846
103 4.3082 4.2840
104 4.3080 4.2845
105 4.3077 4.2837
106 4.3076 4.2834
107 4.3079 4.2836
108 4.3074 4.2842
109 4.3075 4.2837
110 4.3071 4.2847
111 4.3073 4.2847
112 4.3073 4.2845
113 4.3068 4.2838
114 4.3069 4.2834
115 4.3073 4.2834
116 4.3068 4.2842
117 4.3067 4.2831
118 4.3059 4.2832
119 4.3063 4.2836
120 4.3060 4.2833
121 4.3064 4.2833
122 4.3061 4.2832
123 4.3061 4.2838
124 4.3058 4.2833
125 4.3059 4.2833
126 4.3062 4.2837
127 4.3063 4.2831
128 4.3061 4.2832
129 4.3058 4.2834
130 4.3058 4.2829
131 4.3062 4.2831
132 4.3060 4.2830
133 4.3059 4.2832
134 4.3060 4.2829
135 4.3060 4.2834
136 4.3057 4.2833
137 4.3057 4.2834
138 4.3057 4.2826
139 4.3059 4.2827
140 4.3058 4.2829
141 4.3058 4.2834
142 4.3058 4.2829
143 4.3059 4.2833
144 4.3059 4.2834
145 4.3059 4.2832
146 4.3059 4.2826
147 4.3058 4.2834
148 4.3058 4.2830
149 4.3057 4.2829
150 4.3058 4.2831
151 4.3063 4.2830
152 4.3058 4.2838
153 4.3057 4.2829
154 4.3057 4.2830
155 4.3059 4.2837
156 4.3060 4.2837
157 4.3058 4.2826
158 4.3059 4.2829
159 4.3062 4.2839
160 4.3060 4.2824
161 4.3056 4.2833
162 4.3059 4.2831
163 4.3060 4.2828
164 4.3059 4.2823
165 4.3057 4.2832
166 4.3059 4.2831
167 4.3061 4.2834
168 4.3056 4.2835
169 4.3059 4.2829
170 4.3060 4.2829
171 4.3061 4.2831
172 4.3058 4.2828
173 4.3059 4.2827
174 4.3061 4.2832
175 4.3061 4.2826
176 4.3057 4.2834
177 4.3060 4.2837
178 4.3058 4.2829
179 4.3058 4.2831
180 4.3061 4.2825
181 4.3059 4.2830
182 4.3059 4.2834
183 4.3055 4.2834
