epoch training validation
0 2.3367 2.3427
1 0.2133 0.1068
2 0.0744 0.0526
3 0.0437 0.0440
4 0.0474 0.0292
5 0.0366 0.0243
6 0.0273 0.0207
7 0.0183 0.0164
8 0.0245 0.0252
9 0.0219 0.0224
10 0.0183 0.0141
11 0.0144 0.0337
12 0.0122 0.0111
13 0.0136 0.0104
14 0.0129 0.0098
15 0.0111 0.0094
16 0.0090 0.0086
17 0.0084 0.0082
18 0.0146 0.0084
19 0.0080 0.0082
20 0.0153 0.0107
21 0.0085 0.0075
22 0.0111 0.0264
23 0.0085 0.0072
24 0.0070 0.0068
25 0.0095 0.0077
26 0.0070 0.0067
27 0.0065 0.0062
28 0.0062 0.0059
29 0.0112 0.0068
30 0.0062 0.0058
31 0.0059 0.0057
32 0.0057 0.0055
33 0.0055 0.0054
34 0.0104 0.0057
35 0.0055 0.0054
36 0.0053 0.0052
37 0.0051 0.0051
38 0.0050 0.0048
39 0.0049 0.0047
40 0.0048 0.0048
41 0.0047 0.0046
42 0.0046 0.0045
43 0.0045 0.0043
44 0.0044 0.0042
45 0.0043 0.0043
46 0.0085 0.0059
47 0.0058 0.0045
48 0.0044 0.0043
49 0.0043 0.0042
50 0.0041 0.0041
51 0.0040 0.0039
52 0.0039 0.0038
53 0.0039 0.0038
54 0.0067 0.0038
55 0.0038 0.0037
56 0.0037 0.0039
57 0.0037 0.0036
58 0.0037 0.0036
59 0.0036 0.0035
60 0.0036 0.0038
61 0.0035 0.0034
62 0.0053 0.0957
63 0.0055 0.0035
64 0.0034 0.0034
65 0.0034 0.0034
66 0.0034 0.0033
67 0.0033 0.0033
68 0.0033 0.0032
69 0.0032 0.0031
70 0.0032 0.0031
71 0.0031 0.0031
72 0.0031 0.0031
73 0.0031 0.0030
74 0.0030 0.0030
75 0.0030 0.0030
76 0.0030 0.0029
77 0.0029 0.0030
78 0.0029 0.0029
79 0.0029 0.0028
80 0.0028 0.0028
81 0.0028 0.0027
82 0.0028 0.0028
83 0.0027 0.0027
84 0.0027 0.0027
85 0.0027 0.0027
86 0.0027 0.0026
87 0.0026 0.0026
88 0.0026 0.0025
89 0.0026 0.0025
90 0.0082 0.0036
91 0.0030 0.0027
92 0.0043 0.0027
93 0.0026 0.0027
94 0.0026 0.0025
95 0.0025 0.0025
96 0.0025 0.0025
97 0.0025 0.0025
98 0.0025 0.0024
99 0.0024 0.0024
100 0.0051 0.0086
101 0.0034 0.0026
102 0.0025 0.0024
103 0.0024 0.0024
104 0.0024 0.0023
105 0.0024 0.0024
106 0.0024 0.0024
107 0.0023 0.0023
108 0.0023 0.0023
109 0.0023 0.0022
110 0.0023 0.0023
111 0.0022 0.0022
112 0.0022 0.0022
113 0.0022 0.0022
114 0.0022 0.0022
115 0.0022 0.0021
116 0.0021 0.0021
117 0.0021 0.0021
118 0.0021 0.0021
119 0.0021 0.0021
120 0.0021 0.0021
121 0.0021 0.0021
122 0.0020 0.0022
123 0.0020 0.0020
124 0.0020 0.0020
125 0.0020 0.0019
126 0.0020 0.0020
127 0.0052 0.0097
128 0.0035 0.0023
129 0.0021 0.0020
130 0.0044 0.0038
131 0.0024 0.0021
132 0.0020 0.0020
133 0.0020 0.0019
134 0.0020 0.0019
135 0.0019 0.0019
136 0.0019 0.0019
137 0.0019 0.0019
138 0.0019 0.0019
139 0.0019 0.0019
140 0.0019 0.0019
141 0.0018 0.0018
142 0.0018 0.0018
143 0.0018 0.0019
144 0.0018 0.0018
145 0.0018 0.0018
146 0.0018 0.0017
147 0.0017 0.0018
148 0.0017 0.0018
149 0.0017 0.0017
150 0.0017 0.0017
151 0.0017 0.0017
152 0.0017 0.0017
153 0.0057 0.0021
154 0.0018 0.0017
155 0.0016 0.0016
156 0.0047 0.0025
157 0.0020 0.0018
158 0.0017 0.0017
159 0.0017 0.0017
160 0.0017 0.0017
161 0.0017 0.0016
162 0.0017 0.0016
163 0.0016 0.0016
164 0.0016 0.0017
165 0.0016 0.0017
166 0.0016 0.0016
167 0.0013 0.0013
168 0.0013 0.0013
169 0.0013 0.0013
170 0.0013 0.0013
171 0.0012 0.0013
172 0.0012 0.0012
173 0.0012 0.0012
174 0.0012 0.0012
175 0.0012 0.0012
176 0.0012 0.0012
177 0.0012 0.0012
178 0.0012 0.0012
179 0.0012 0.0012
180 0.0012 0.0012
181 0.0012 0.0012
182 0.0012 0.0012
183 0.0012 0.0012
184 0.0012 0.0012
185 0.0012 0.0012
186 0.0012 0.0012
187 0.0012 0.0012
188 0.0012 0.0012
189 0.0012 0.0012
190 0.0012 0.0012
191 0.0012 0.0012
192 0.0012 0.0012
193 0.0012 0.0012
194 0.0012 0.0012
195 0.0012 0.0012
196 0.0012 0.0012
197 0.0012 0.0012
198 0.0012 0.0012
199 0.0012 0.0012
200 0.0012 0.0012
201 0.0012 0.0012
202 0.0011 0.0012
203 0.0011 0.0012
204 0.0011 0.0012
205 0.0011 0.0012
206 0.0011 0.0011
207 0.0011 0.0011
208 0.0011 0.0012
209 0.0011 0.0012
210 0.0011 0.0011
211 0.0011 0.0011
212 0.0011 0.0011
213 0.0011 0.0011
214 0.0011 0.0011
215 0.0011 0.0011
216 0.0011 0.0011
217 0.0011 0.0011
218 0.0011 0.0011
219 0.0011 0.0011
220 0.0011 0.0011
221 0.0011 0.0011
222 0.0011 0.0011
223 0.0011 0.0011
224 0.0011 0.0011
225 0.0011 0.0011
226 0.0011 0.0011
227 0.0011 0.0011
228 0.0011 0.0011
229 0.0011 0.0011
230 0.0011 0.0011
231 0.0011 0.0011
232 0.0011 0.0011
233 0.0011 0.0011
234 0.0011 0.0011
235 0.0011 0.0011
236 0.0011 0.0011
237 0.0011 0.0011
238 0.0011 0.0011
239 0.0011 0.0011
240 0.0011 0.0011
241 0.0011 0.0011
242 0.0011 0.0011
243 0.0011 0.0011
244 0.0011 0.0011
245 0.0011 0.0011
246 0.0011 0.0011
247 0.0011 0.0011
248 0.0011 0.0011
249 0.0011 0.0011
250 0.0011 0.0011
251 0.0011 0.0011
252 0.0011 0.0011
253 0.0011 0.0011
254 0.0011 0.0011
255 0.0011 0.0011
256 0.0011 0.0011
257 0.0011 0.0011
258 0.0011 0.0011
259 0.0011 0.0011
260 0.0011 0.0011
261 0.0011 0.0011
262 0.0011 0.0011
263 0.0011 0.0011
264 0.0010 0.0011
265 0.0010 0.0011
266 0.0010 0.0011
267 0.0010 0.0011
268 0.0010 0.0011
269 0.0010 0.0010
270 0.0010 0.0010
271 0.0010 0.0010
272 0.0010 0.0010
273 0.0010 0.0010
274 0.0010 0.0010
275 0.0010 0.0010
276 0.0010 0.0010
277 0.0010 0.0010
278 0.0010 0.0010
279 0.0010 0.0010
280 0.0010 0.0010
281 0.0010 0.0010
282 0.0010 0.0010
283 0.0010 0.0010
284 0.0010 0.0010
285 0.0010 0.0010
286 0.0010 0.0010
287 0.0010 0.0010
288 0.0010 0.0010
289 0.0010 0.0010
290 0.0010 0.0010
291 0.0010 0.0010
292 0.0010 0.0010
293 0.0010 0.0010
294 0.0010 0.0010
295 0.0010 0.0010
296 0.0010 0.0010
297 0.0010 0.0010
298 0.0010 0.0010
299 0.0010 0.0010
