epoch training validation
0 2.1688 2.1634
1 0.2722 0.1825
2 0.1365 0.1057
3 0.0892 0.0767
4 0.0706 0.0634
5 0.0601 0.0555
6 0.0526 0.0485
7 0.0466 0.0439
8 0.0425 0.0412
9 0.0395 0.0373
10 0.0371 0.0370
11 0.0574 0.0412
12 0.0382 0.0370
13 0.0356 0.0344
14 0.0339 0.0329
15 0.0326 0.0313
16 0.0313 0.0304
17 0.0304 0.0297
18 0.0294 0.0293
19 0.0286 0.0279
20 0.0281 0.0278
21 0.0275 0.0272
22 0.0268 0.0264
23 0.0265 0.0264
24 0.0259 0.0257
25 0.0255 0.0250
26 0.0252 0.0245
27 0.0247 0.0242
28 0.0244 0.0247
29 0.0241 0.0241
30 0.0238 0.0235
31 0.0234 0.0233
32 0.0231 0.0227
33 0.0228 0.0226
34 0.0225 0.0228
35 0.0223 0.0223
36 0.0221 0.0220
37 0.0218 0.0215
38 0.0216 0.0216
39 0.0215 0.0215
40 0.0212 0.0212
41 0.0210 0.0207
42 0.0208 0.0208
43 0.0207 0.0208
44 0.0205 0.0208
45 0.0203 0.0202
46 0.0201 0.0202
47 0.0200 0.0201
48 0.0199 0.0196
49 0.0197 0.0195
50 0.0196 0.0197
51 0.0195 0.0194
52 0.0193 0.0191
53 0.0192 0.0191
54 0.0191 0.0197
55 0.0190 0.0187
56 0.0189 0.0187
57 0.0188 0.0186
58 0.0186 0.0188
59 0.0186 0.0194
60 0.0184 0.0184
61 0.0183 0.0183
62 0.0183 0.0182
63 0.0182 0.0181
64 0.0181 0.0180
65 0.0181 0.0182
66 0.0180 0.0178
67 0.0179 0.0179
68 0.0177 0.0177
69 0.0177 0.0177
70 0.0177 0.0174
71 0.0176 0.0174
72 0.0175 0.0176
73 0.0174 0.0177
74 0.0174 0.0173
75 0.0172 0.0173
76 0.0172 0.0171
77 0.0171 0.0171
78 0.0171 0.0170
79 0.0171 0.0171
80 0.0170 0.0172
81 0.0170 0.0171
82 0.0169 0.0169
83 0.0169 0.0168
84 0.0168 0.0168
85 0.0167 0.0166
86 0.0166 0.0167
87 0.0166 0.0167
88 0.0167 0.0165
89 0.0166 0.0165
90 0.0165 0.0166
91 0.0164 0.0164
92 0.0164 0.0165
93 0.0164 0.0164
94 0.0163 0.0163
95 0.0163 0.0162
96 0.0162 0.0162
97 0.0163 0.0161
98 0.0161 0.0163
99 0.0162 0.0161
100 0.0163 0.0166
101 0.0162 0.0160
102 0.0160 0.0159
103 0.0161 0.0161
104 0.0159 0.0159
105 0.0160 0.0162
106 0.0159 0.0160
107 0.0160 0.0158
108 0.0158 0.0158
109 0.0158 0.0157
110 0.0160 0.0160
111 0.0157 0.0158
112 0.0158 0.0157
113 0.0158 0.0157
114 0.0156 0.0156
115 0.0156 0.0155
116 0.0156 0.0156
117 0.0156 0.0159
118 0.0155 0.0156
119 0.0156 0.0156
120 0.0155 0.0154
121 0.0155 0.0155
122 0.0155 0.0155
123 0.0154 0.0155
124 0.0154 0.0155
125 0.0153 0.0155
126 0.0153 0.0154
127 0.0153 0.0152
128 0.0153 0.0152
129 0.0153 0.0152
130 0.0152 0.0153
131 0.0152 0.0152
132 0.0152 0.0155
133 0.0152 0.0152
134 0.0151 0.0151
135 0.0151 0.0152
136 0.0151 0.0152
137 0.0150 0.0151
138 0.0150 0.0151
139 0.0150 0.0152
140 0.0150 0.0151
141 0.0150 0.0150
142 0.0149 0.0150
143 0.0149 0.0151
144 0.0149 0.0149
145 0.0149 0.0152
146 0.0149 0.0148
147 0.0150 0.0159
148 0.0151 0.0148
149 0.0148 0.0149
150 0.0148 0.0148
151 0.0148 0.0148
152 0.0147 0.0148
153 0.0148 0.0149
154 0.0149 0.0147
155 0.0147 0.0146
156 0.0148 0.0150
157 0.0147 0.0147
158 0.0147 0.0147
159 0.0147 0.0146
160 0.0146 0.0148
161 0.0147 0.0146
162 0.0146 0.0148
163 0.0146 0.0146
164 0.0146 0.0146
165 0.0145 0.0146
166 0.0146 0.0146
167 0.0145 0.0146
168 0.0145 0.0148
169 0.0145 0.0146
170 0.0145 0.0145
171 0.0145 0.0145
172 0.0144 0.0145
173 0.0144 0.0145
174 0.0144 0.0147
175 0.0144 0.0144
176 0.0144 0.0144
177 0.0144 0.0144
178 0.0143 0.0145
179 0.0143 0.0145
180 0.0145 0.0144
181 0.0143 0.0143
182 0.0143 0.0144
183 0.0143 0.0142
184 0.0143 0.0145
185 0.0143 0.0144
186 0.0143 0.0143
187 0.0142 0.0142
188 0.0142 0.0143
189 0.0142 0.0143
190 0.0142 0.0143
191 0.0142 0.0142
192 0.0142 0.0142
193 0.0142 0.0142
194 0.0142 0.0143
195 0.0141 0.0142
196 0.0142 0.0141
197 0.0141 0.0141
198 0.0141 0.0142
199 0.0141 0.0141
200 0.0141 0.0143
201 0.0141 0.0141
202 0.0141 0.0141
203 0.0141 0.0141
204 0.0141 0.0143
205 0.0140 0.0141
206 0.0140 0.0140
207 0.0140 0.0139
208 0.0140 0.0141
209 0.0140 0.0140
210 0.0140 0.0140
211 0.0140 0.0139
212 0.0140 0.0140
213 0.0139 0.0140
214 0.0139 0.0139
215 0.0139 0.0140
216 0.0139 0.0140
217 0.0139 0.0140
218 0.0139 0.0140
219 0.0131 0.0132
220 0.0131 0.0131
221 0.0130 0.0132
222 0.0130 0.0130
223 0.0130 0.0131
224 0.0129 0.0130
225 0.0130 0.0131
226 0.0129 0.0130
227 0.0129 0.0130
228 0.0129 0.0130
229 0.0128 0.0130
230 0.0129 0.0130
231 0.0129 0.0130
232 0.0129 0.0129
233 0.0129 0.0129
234 0.0129 0.0130
235 0.0129 0.0130
236 0.0129 0.0129
237 0.0129 0.0129
238 0.0128 0.0130
239 0.0128 0.0128
240 0.0128 0.0129
241 0.0128 0.0130
242 0.0128 0.0129
243 0.0128 0.0130
244 0.0128 0.0129
245 0.0128 0.0129
246 0.0128 0.0130
247 0.0128 0.0129
248 0.0128 0.0129
249 0.0128 0.0130
250 0.0128 0.0129
251 0.0128 0.0129
252 0.0128 0.0129
253 0.0128 0.0128
254 0.0128 0.0129
255 0.0128 0.0129
256 0.0128 0.0128
257 0.0127 0.0128
258 0.0128 0.0128
259 0.0128 0.0128
260 0.0127 0.0128
261 0.0128 0.0128
262 0.0128 0.0129
263 0.0127 0.0128
264 0.0127 0.0129
265 0.0127 0.0128
266 0.0127 0.0128
267 0.0128 0.0128
268 0.0127 0.0128
269 0.0128 0.0129
270 0.0128 0.0130
271 0.0127 0.0128
272 0.0127 0.0129
273 0.0127 0.0129
274 0.0127 0.0128
275 0.0127 0.0129
276 0.0127 0.0129
277 0.0127 0.0127
278 0.0127 0.0128
279 0.0127 0.0128
280 0.0127 0.0128
281 0.0127 0.0128
282 0.0127 0.0128
283 0.0127 0.0127
284 0.0127 0.0129
285 0.0127 0.0127
286 0.0127 0.0128
287 0.0127 0.0129
288 0.0127 0.0127
289 0.0127 0.0128
290 0.0127 0.0127
291 0.0127 0.0127
292 0.0127 0.0128
293 0.0127 0.0128
294 0.0127 0.0129
295 0.0127 0.0128
296 0.0127 0.0127
297 0.0127 0.0128
298 0.0127 0.0128
299 0.0127 0.0127
