epoch training validation
0 1.8625 1.8253
1 0.3878 0.3089
2 0.3059 0.2773
3 0.2824 0.2640
4 0.2703 0.2549
5 0.2593 0.2439
6 0.2456 0.2230
7 0.2313 0.2132
8 0.2219 0.2030
9 0.2145 0.1990
10 0.2083 0.1900
11 0.2029 0.1859
12 0.1981 0.1813
13 0.1949 0.1773
14 0.1917 0.1746
15 0.1892 0.1729
16 0.1867 0.1728
17 0.1847 0.1704
18 0.1828 0.1680
19 0.1810 0.1666
20 0.1786 0.1652
21 0.1769 0.1600
22 0.1745 0.1586
23 0.1731 0.1584
24 0.1718 0.1567
25 0.1704 0.1549
26 0.1690 0.1544
27 0.1682 0.1517
28 0.1668 0.1535
29 0.1659 0.1492
30 0.1652 0.1493
31 0.1639 0.1499
32 0.1633 0.1477
33 0.1620 0.1478
34 0.1611 0.1480
35 0.1605 0.1447
36 0.1597 0.1442
37 0.1589 0.1461
38 0.1583 0.1428
39 0.1577 0.1417
40 0.1568 0.1417
41 0.1562 0.1405
42 0.1557 0.1399
43 0.1548 0.1390
44 0.1542 0.1412
45 0.1537 0.1383
46 0.1530 0.1377
47 0.1526 0.1375
48 0.1521 0.1381
49 0.1515 0.1393
50 0.1509 0.1367
51 0.1505 0.1370
52 0.1500 0.1348
53 0.1497 0.1337
54 0.1493 0.1337
55 0.1488 0.1344
56 0.1483 0.1340
57 0.1479 0.1328
58 0.1475 0.1331
59 0.1470 0.1328
60 0.1470 0.1329
61 0.1466 0.1317
62 0.1461 0.1325
63 0.1457 0.1319
64 0.1458 0.1299
65 0.1455 0.1302
66 0.1448 0.1305
67 0.1448 0.1303
68 0.1444 0.1292
69 0.1440 0.1302
70 0.1438 0.1288
71 0.1437 0.1302
72 0.1431 0.1288
73 0.1433 0.1296
74 0.1429 0.1281
75 0.1423 0.1276
76 0.1422 0.1269
77 0.1420 0.1293
78 0.1419 0.1260
79 0.1415 0.1267
80 0.1413 0.1268
81 0.1413 0.1263
82 0.1407 0.1266
83 0.1406 0.1251
84 0.1404 0.1248
85 0.1401 0.1251
86 0.1399 0.1257
87 0.1397 0.1250
88 0.1397 0.1237
89 0.1391 0.1245
90 0.1392 0.1251
91 0.1389 0.1239
92 0.1386 0.1236
93 0.1383 0.1242
94 0.1381 0.1237
95 0.1382 0.1241
96 0.1380 0.1231
97 0.1380 0.1223
98 0.1419 0.1222
99 0.1372 0.1220
100 0.1371 0.1217
101 0.1372 0.1222
102 0.1368 0.1224
103 0.1366 0.1223
104 0.1367 0.1224
105 0.1363 0.1224
106 0.1362 0.1216
107 0.1361 0.1220
108 0.1359 0.1217
109 0.1357 0.1204
110 0.1355 0.1206
111 0.1355 0.1201
112 0.1354 0.1203
113 0.1352 0.1199
114 0.1351 0.1198
115 0.1348 0.1196
116 0.1349 0.1197
117 0.1345 0.1214
118 0.1344 0.1193
119 0.1344 0.1193
120 0.1341 0.1196
121 0.1340 0.1192
122 0.1338 0.1192
123 0.1339 0.1188
124 0.1336 0.1187
125 0.1335 0.1183
126 0.1333 0.1183
127 0.1332 0.1179
128 0.1329 0.1194
129 0.1331 0.1173
130 0.1329 0.1169
131 0.1326 0.1190
132 0.1326 0.1171
133 0.1323 0.1187
134 0.1323 0.1184
135 0.1322 0.1166
