epoch training validation
0 1.1400 1.1423
1 0.8839 0.7511
2 0.6967 0.7245
3 0.6277 0.6001
4 0.5689 0.5680
5 0.5262 0.5462
6 0.4678 0.5099
7 0.4213 0.4329
8 0.3664 0.3504
9 0.3171 0.3014
10 0.2638 0.2651
11 0.2277 0.2500
12 0.1879 0.2083
13 0.1528 0.1627
14 0.1377 0.1657
15 0.1188 0.1051
16 0.1103 0.0830
17 0.0960 0.1073
18 0.0948 0.0951
19 0.0823 0.0836
20 0.0833 0.0697
21 0.0724 0.0539
22 0.0754 0.0809
23 0.0610 0.0987
24 0.0747 0.0940
25 0.0604 0.0634
26 0.0574 0.0551
27 0.0675 0.0784
28 0.0501 0.0657
29 0.0509 0.0708
30 0.0572 0.0360
31 0.0474 0.0477
32 0.0503 0.0679
33 0.0430 0.0461
34 0.0569 0.0526
35 0.0380 0.0301
36 0.0515 0.0876
37 0.0418 0.0442
38 0.0434 0.0412
39 0.0439 0.0300
40 0.0439 0.0467
41 0.0376 0.0438
42 0.0393 0.0539
43 0.0387 0.0883
44 0.0441 0.0468
45 0.0314 0.0649
46 0.0442 0.0518
47 0.0374 0.0339
48 0.0253 0.0326
49 0.0449 0.0398
50 0.0264 0.0311
51 0.0078 0.0031
52 0.0017 0.0015
53 0.0010 0.0010
54 0.0007 0.0006
