epoch training validation
0 0.7714 0.7003
1 0.6382 0.4324
2 0.3951 0.2965
3 0.3243 0.2786
4 0.2790 0.2788
5 0.2508 0.2409
6 0.2115 0.1915
7 0.1925 0.1805
8 0.1781 0.1637
9 0.1512 0.1796
10 0.1292 0.1129
11 0.1224 0.1530
12 0.1032 0.0693
13 0.1010 0.0592
14 0.0783 0.0621
15 0.0637 0.0977
16 0.0587 0.0952
17 0.0659 0.0394
18 0.0411 0.0506
19 0.0468 0.0626
20 0.0496 0.0751
21 0.0330 0.0797
22 0.0331 0.0310
23 0.0393 0.0391
24 0.0377 0.0418
25 0.0337 0.0275
26 0.0235 0.0233
27 0.0039 0.0055
28 0.0523 0.1101
29 0.0228 0.0159
30 0.0244 0.0298
31 0.0291 0.0328
32 0.0306 0.0235
33 0.0383 0.0257
34 0.0225 0.0189
35 0.0043 0.0073
36 0.0033 0.0195
37 0.0516 0.0311
38 0.0225 0.0029
39 0.0011 0.0005
40 0.0003 0.0003
41 0.0001 0.0001
42 0.0001 0.0001
43 0.0001 0.0000
44 0.0000 0.0000
45 0.0000 0.0000
46 0.0000 0.0000
47 0.0000 0.0000
48 0.0000 0.0000
49 0.0000 0.0000
50 0.0000 0.0000
51 0.0000 0.0000
52 0.0000 0.0000
53 0.0000 0.0000
54 0.0000 0.0000
55 0.0000 0.0000
56 0.0000 0.0000
57 0.0000 0.0000
58 0.0000 0.0000
59 0.0000 0.0000
60 0.0000 0.0000
61 0.0000 0.0000
62 0.0000 0.0000
63 0.0000 0.0000
64 0.0000 0.0000
65 0.0000 0.0000
66 0.0000 0.0000
67 0.0000 0.0000
68 0.0000 0.0000
69 0.0000 0.0000
70 0.0000 0.0000
71 0.0000 0.0000
72 0.0000 0.0000
73 0.0000 0.0000
74 0.0000 0.0000
75 0.0000 0.0000
76 0.0000 0.0000
77 0.0000 0.0000
78 0.0000 0.0000
79 0.0000 0.0000
80 0.0000 0.0000
81 0.0000 0.0000
82 0.0000 0.0000
83 0.0000 0.0000
84 0.0000 0.0000
85 0.0000 0.0000
86 0.0000 0.0000
87 0.0000 0.0000
88 0.0000 0.0000
89 0.0000 0.0000
90 0.0000 0.0000
91 0.0000 0.0000
92 0.0000 0.0000
93 0.0000 0.0000
94 0.0000 0.0000
95 0.0000 0.0000
96 0.0000 0.0000
97 0.0000 0.0000
98 0.0000 0.0000
99 0.0000 0.0000
