epoch training validation
0 1.8982 1.8931
1 0.3292 0.2585
2 0.2415 0.2238
3 0.2004 0.1719
4 0.1575 0.1451
5 0.1380 0.1300
6 0.1260 0.1201
7 0.1176 0.1152
8 0.1111 0.1086
9 0.1055 0.1026
10 0.1010 0.1002
11 0.0975 0.0972
12 0.0944 0.0929
13 0.0920 0.0908
14 0.0895 0.0884
15 0.0878 0.0862
16 0.0859 0.0847
17 0.0843 0.0835
18 0.0829 0.0823
19 0.0816 0.0820
20 0.0802 0.0797
21 0.0791 0.0780
22 0.0781 0.0771
23 0.0770 0.0775
24 0.0763 0.0758
25 0.0754 0.0750
26 0.0745 0.0744
27 0.0739 0.0737
28 0.0731 0.0723
29 0.0723 0.0721
30 0.0717 0.0717
31 0.0711 0.0707
32 0.0704 0.0700
33 0.0700 0.0692
34 0.0693 0.0694
35 0.0687 0.0684
36 0.0682 0.0682
37 0.0679 0.0675
38 0.0673 0.0675
39 0.0669 0.0669
40 0.0664 0.0664
41 0.0661 0.0666
42 0.0656 0.0663
43 0.0652 0.0654
44 0.0649 0.0649
45 0.0644 0.0647
46 0.0641 0.0644
47 0.0637 0.0637
48 0.0634 0.0635
49 0.0630 0.0633
50 0.0629 0.0636
51 0.0626 0.0629
52 0.0621 0.0625
53 0.0618 0.0617
54 0.0616 0.0616
55 0.0616 0.0616
56 0.0611 0.0619
57 0.0608 0.0609
58 0.0606 0.0607
59 0.0603 0.0605
60 0.0600 0.0600
61 0.0598 0.0601
62 0.0596 0.0600
63 0.0593 0.0592
64 0.0592 0.0598
65 0.0589 0.0592
66 0.0587 0.0589
67 0.0588 0.0588
68 0.0583 0.0583
69 0.0581 0.0585
70 0.0580 0.0588
71 0.0579 0.0576
72 0.0575 0.0577
73 0.0574 0.0578
74 0.0573 0.0573
75 0.0571 0.0575
76 0.0569 0.0574
77 0.0568 0.0571
78 0.0565 0.0568
79 0.0565 0.0571
80 0.0564 0.0569
81 0.0561 0.0568
82 0.0560 0.0564
83 0.0560 0.0563
84 0.0557 0.0560
85 0.0556 0.0558
86 0.0555 0.0558
87 0.0554 0.0558
88 0.0552 0.0554
89 0.0551 0.0562
90 0.0551 0.0553
91 0.0548 0.0553
92 0.0548 0.0551
93 0.0546 0.0563
94 0.0545 0.0546
95 0.0544 0.0544
96 0.0542 0.0548
97 0.0542 0.0547
98 0.0541 0.0546
99 0.0539 0.0540
100 0.0538 0.0543
101 0.0538 0.0541
102 0.0535 0.0538
103 0.0536 0.0539
104 0.0534 0.0536
105 0.0533 0.0539
106 0.0532 0.0533
107 0.0531 0.0535
108 0.0530 0.0535
109 0.0534 0.0534
110 0.0528 0.0532
111 0.0528 0.0534
112 0.0529 0.0531
113 0.0526 0.0532
114 0.0525 0.0527
115 0.0525 0.0527
116 0.0524 0.0526
117 0.0524 0.0527
118 0.0522 0.0526
119 0.0522 0.0527
120 0.0521 0.0522
121 0.0519 0.0525
122 0.0519 0.0522
123 0.0518 0.0523
124 0.0519 0.0526
125 0.0516 0.0521
126 0.0516 0.0523
127 0.0516 0.0518
128 0.0516 0.0518
129 0.0514 0.0518
130 0.0514 0.0522
131 0.0513 0.0515
132 0.0513 0.0516
133 0.0511 0.0515
134 0.0511 0.0516
135 0.0510 0.0514
136 0.0509 0.0514
137 0.0510 0.0518
138 0.0509 0.0513
139 0.0507 0.0512
140 0.0508 0.0513
141 0.0506 0.0511
142 0.0506 0.0509
143 0.0506 0.0509
144 0.0505 0.0509
145 0.0505 0.0510
146 0.0505 0.0511
147 0.0503 0.0505
148 0.0504 0.0506
149 0.0503 0.0508
150 0.0502 0.0505
151 0.0501 0.0507
152 0.0501 0.0502
153 0.0500 0.0509
154 0.0499 0.0504
155 0.0499 0.0506
156 0.0499 0.0502
157 0.0498 0.0501
158 0.0498 0.0502
159 0.0497 0.0502
160 0.0496 0.0501
161 0.0495 0.0499
162 0.0495 0.0499
163 0.0495 0.0499
164 0.0495 0.0499
165 0.0494 0.0497
166 0.0493 0.0498
167 0.0493 0.0497
168 0.0492 0.0496
169 0.0493 0.0495
170 0.0492 0.0495
171 0.0492 0.0502
172 0.0491 0.0494
173 0.0491 0.0504
174 0.0490 0.0493
175 0.0490 0.0493
176 0.0489 0.0493
177 0.0489 0.0494
178 0.0489 0.0492
179 0.0489 0.0495
180 0.0487 0.0493
181 0.0488 0.0492
182 0.0487 0.0495
183 0.0486 0.0488
184 0.0486 0.0490
185 0.0485 0.0490
186 0.0485 0.0490
187 0.0485 0.0493
188 0.0484 0.0487
189 0.0484 0.0490
190 0.0483 0.0487
191 0.0483 0.0489
192 0.0484 0.0489
193 0.0483 0.0487
194 0.0481 0.0486
195 0.0483 0.0484
196 0.0481 0.0486
197 0.0483 0.0486
198 0.0480 0.0486
199 0.0480 0.0485
200 0.0480 0.0485
201 0.0479 0.0485
202 0.0479 0.0482
203 0.0479 0.0485
204 0.0478 0.0483
205 0.0478 0.0485
206 0.0478 0.0484
207 0.0478 0.0482
208 0.0477 0.0482
209 0.0477 0.0482
210 0.0476 0.0481
211 0.0476 0.0479
212 0.0476 0.0481
213 0.0475 0.0480
214 0.0474 0.0478
215 0.0475 0.0480
216 0.0475 0.0480
