epoch training validation
0 1.8982 1.8931
1 0.4170 0.3174
2 0.2934 0.2705
3 0.2625 0.2470
4 0.2459 0.2339
5 0.2190 0.2098
6 0.2000 0.1914
7 0.1853 0.1810
8 0.1747 0.1715
9 0.1677 0.1663
10 0.1640 0.1635
11 0.1790 0.1708
12 0.1621 0.1530
13 0.1397 0.1308
14 0.1247 0.1201
15 0.1153 0.1120
16 0.1079 0.1063
17 0.1020 0.1005
18 0.0973 0.0968
19 0.0939 0.0935
20 0.0919 0.0919
21 0.1074 0.1037
22 0.1032 0.1025
23 0.0989 0.0978
24 0.0950 0.0933
25 0.0908 0.0907
26 0.0866 0.0856
27 0.0829 0.0823
28 0.0795 0.0793
29 0.0768 0.0767
30 0.0751 0.0752
31 0.0925 0.0914
32 0.0909 0.0896
33 0.0886 0.0883
34 0.0856 0.0852
35 0.0823 0.0818
