epoch training validation
0 0.7778 0.7818
1 0.6065 0.5572
2 0.5436 0.5401
3 0.5271 0.5183
4 0.5200 0.5075
5 0.5140 0.5110
6 0.5088 0.5159
7 0.5043 0.4978
8 0.5006 0.5035
9 0.4992 0.4864
10 0.4955 0.4942
11 0.4939 0.4819
12 0.4906 0.4832
13 0.4893 0.4725
14 0.4865 0.4919
15 0.4836 0.4876
16 0.4824 0.4801
17 0.4805 0.4788
18 0.4781 0.4782
19 0.4768 0.4726
20 0.4757 0.4633
21 0.4731 0.4825
22 0.4709 0.4723
23 0.4695 0.4665
24 0.4688 0.4572
25 0.4664 0.4555
26 0.4647 0.4582
27 0.4629 0.4611
28 0.4614 0.4507
29 0.4592 0.4562
30 0.4576 0.4478
31 0.4567 0.4460
32 0.4544 0.4387
33 0.4515 0.4525
34 0.4513 0.4435
35 0.4497 0.4341
36 0.4467 0.4432
37 0.4451 0.4331
38 0.4430 0.4304
39 0.4409 0.4287
40 0.4403 0.4325
41 0.4364 0.4289
42 0.4346 0.4308
43 0.4337 0.4201
44 0.4311 0.4177
45 0.4293 0.4152
46 0.4269 0.4054
47 0.4249 0.4061
48 0.4224 0.4077
49 0.4203 0.4052
50 0.4184 0.4063
51 0.4166 0.3970
52 0.4145 0.3927
53 0.4127 0.3894
54 0.4104 0.3895
55 0.4086 0.3913
56 0.4073 0.3886
57 0.4046 0.3797
58 0.4028 0.3807
59 0.4005 0.3877
60 0.3990 0.3790
61 0.3974 0.3788
62 0.3957 0.3790
63 0.3937 0.3703
64 0.3925 0.3621
65 0.3911 0.3658
66 0.3890 0.3570
67 0.3876 0.3627
68 0.3866 0.3571
69 0.3852 0.3595
70 0.3835 0.3648
71 0.3822 0.3507
72 0.3799 0.3495
73 0.3797 0.3534
74 0.3774 0.3471
75 0.3764 0.3481
76 0.3752 0.3476
77 0.3743 0.3493
78 0.3735 0.3398
79 0.3717 0.3572
80 0.3702 0.3417
81 0.3693 0.3356
82 0.3697 0.3316
83 0.3682 0.3362
84 0.3666 0.3354
85 0.3644 0.3352
86 0.3647 0.3401
87 0.3644 0.3298
88 0.3625 0.3284
89 0.3632 0.3229
90 0.3609 0.3307
91 0.3608 0.3236
92 0.3589 0.3290
93 0.3585 0.3291
94 0.3575 0.3159
95 0.3569 0.3160
96 0.3557 0.3208
97 0.3556 0.3180
98 0.3549 0.3144
99 0.3547 0.3124
