epoch training validation
0 0.7780 0.7719
1 0.5592 0.5182
2 0.5265 0.5226
3 0.5173 0.5109
4 0.5104 0.5091
5 0.5048 0.5077
6 0.5016 0.4903
7 0.4980 0.4866
8 0.4941 0.4782
9 0.4895 0.4766
10 0.4853 0.4766
11 0.4800 0.4752
12 0.4760 0.4680
13 0.4716 0.4531
14 0.4654 0.4638
15 0.4611 0.4452
16 0.4542 0.4452
17 0.4491 0.4389
18 0.4428 0.4358
19 0.4369 0.4204
20 0.4307 0.4204
21 0.4241 0.4007
22 0.4165 0.3942
23 0.4106 0.3829
24 0.4047 0.3717
25 0.3977 0.3702
26 0.3904 0.3666
27 0.3845 0.3528
28 0.3779 0.3486
29 0.3721 0.3423
30 0.3654 0.3353
31 0.3602 0.3199
32 0.3545 0.3198
33 0.3493 0.3132
34 0.3432 0.3109
35 0.3394 0.3105
36 0.3338 0.2999
37 0.3295 0.2912
38 0.3259 0.2895
39 0.3206 0.2796
40 0.3184 0.2774
41 0.3132 0.2778
42 0.3098 0.2696
43 0.3054 0.2685
44 0.3027 0.2624
45 0.3001 0.2571
46 0.2974 0.2530
47 0.2939 0.2508
48 0.2913 0.2484
49 0.2882 0.2487
50 0.2870 0.2432
51 0.2837 0.2424
52 0.2806 0.2418
53 0.2781 0.2368
54 0.2759 0.2335
55 0.2748 0.2307
56 0.2728 0.2289
57 0.2698 0.2295
58 0.2672 0.2274
59 0.2667 0.2249
60 0.2647 0.2215
61 0.2630 0.2196
62 0.2614 0.2197
63 0.2598 0.2156
64 0.2580 0.2141
65 0.2561 0.2116
66 0.2543 0.2178
67 0.2531 0.2145
68 0.2519 0.2104
69 0.2503 0.2085
70 0.2486 0.2087
71 0.2476 0.2061
72 0.2469 0.2046
73 0.2454 0.2033
74 0.2444 0.2021
75 0.2426 0.1999
76 0.2420 0.2003
77 0.2412 0.1974
78 0.2394 0.1978
79 0.2382 0.1959
80 0.2376 0.1978
81 0.2364 0.1952
82 0.2354 0.1930
83 0.2341 0.1932
84 0.2339 0.1904
85 0.2325 0.1901
86 0.2314 0.1902
87 0.2308 0.1903
88 0.2294 0.1876
89 0.2292 0.1894
90 0.2281 0.1871
91 0.2272 0.1884
92 0.2263 0.1848
93 0.2256 0.1857
94 0.2248 0.1833
95 0.2238 0.1859
96 0.2236 0.1829
97 0.2227 0.1833
98 0.2216 0.1810
99 0.2212 0.1827
