epoch training validation
0 0.7800 0.7740
1 0.6332 0.6021
2 0.5782 0.5524
3 0.5502 0.5386
4 0.5379 0.5386
5 0.5333 0.5170
6 0.5251 0.5212
7 0.5206 0.5104
8 0.5178 0.5044
9 0.5139 0.5095
10 0.5107 0.5103
11 0.5083 0.5022
12 0.5050 0.4977
13 0.5029 0.4973
14 0.5001 0.4918
15 0.4971 0.5040
16 0.4945 0.4997
17 0.4944 0.4808
18 0.4900 0.4886
19 0.4878 0.4876
20 0.4860 0.4806
21 0.4835 0.4731
22 0.4802 0.4757
23 0.4786 0.4719
24 0.4755 0.4654
25 0.4719 0.4661
26 0.4694 0.4510
27 0.4655 0.4504
28 0.4613 0.4484
29 0.4576 0.4475
30 0.4524 0.4526
31 0.4474 0.4378
32 0.4438 0.4324
33 0.4381 0.4306
34 0.4338 0.4212
35 0.4287 0.4187
36 0.4233 0.4023
37 0.4175 0.4097
38 0.4125 0.3923
39 0.4068 0.3898
40 0.4012 0.3837
41 0.3965 0.3759
42 0.3919 0.3727
43 0.3872 0.3641
44 0.3829 0.3647
45 0.3774 0.3562
46 0.3737 0.3485
47 0.3694 0.3440
48 0.3655 0.3401
49 0.3610 0.3382
50 0.3585 0.3353
51 0.3540 0.3274
52 0.3510 0.3299
53 0.3469 0.3181
54 0.3445 0.3153
55 0.3418 0.3170
56 0.3379 0.3126
57 0.3342 0.3117
58 0.3322 0.3065
59 0.3295 0.3010
60 0.3278 0.2964
61 0.3240 0.2918
62 0.3232 0.2912
63 0.3207 0.2930
64 0.3172 0.2863
65 0.3159 0.2890
66 0.3132 0.2815
67 0.3107 0.2834
68 0.3090 0.2791
69 0.3075 0.2766
70 0.3043 0.2779
71 0.3030 0.2733
72 0.3013 0.2725
73 0.2999 0.2680
74 0.2975 0.2642
75 0.2968 0.2647
76 0.2942 0.2628
77 0.2928 0.2620
78 0.2914 0.2600
79 0.2893 0.2576
80 0.2880 0.2580
81 0.2871 0.2561
82 0.2849 0.2548
83 0.2835 0.2526
84 0.2821 0.2527
85 0.2816 0.2516
86 0.2799 0.2472
87 0.2788 0.2463
88 0.2773 0.2450
89 0.2760 0.2441
90 0.2749 0.2433
91 0.2734 0.2451
92 0.2723 0.2427
93 0.2711 0.2387
94 0.2705 0.2375
95 0.2692 0.2376
96 0.2679 0.2368
97 0.2670 0.2352
98 0.2657 0.2339
99 0.2650 0.2349
