epoch training validation
0 62001.96 48159.76
1 49126.52 44627.74
2 46233.99 42294.95
3 44409.30 40601.68
4 43012.81 39152.25
5 41891.06 38349.88
6 41099.56 37481.93
7 40396.25 37053.68
8 39909.94 36461.91
9 39478.65 36033.74
10 39001.06 35520.83
11 38627.31 35199.32
12 38322.52 34909.60
13 38065.52 34773.94
14 37739.11 34405.07
15 37459.29 34306.42
16 37205.10 34158.67
17 36981.67 33790.22
18 36712.21 33881.91
19 36532.48 33473.34
20 36323.11 33194.40
21 36131.91 32939.93
22 35965.90 32675.25
23 35788.71 32740.91
24 35611.20 32410.53
25 35466.47 32209.39
26 35275.91 32017.90
27 35147.90 31899.29
28 34971.32 32253.07
29 34832.50 31636.88
30 34721.25 31532.99
31 34575.59 31556.45
32 34434.67 31319.08
33 34352.39 31480.20
34 34219.12 31303.42
35 34082.16 31111.87
36 33985.18 31041.24
37 33905.61 30915.86
38 33773.24 30796.29
39 33677.43 30768.48
40 33561.89 30608.39
41 33448.71 30628.52
42 33381.03 30485.84
43 33314.46 30559.69
44 33188.29 30447.73
45 33128.71 30274.37
46 33023.14 30312.29
47 32930.15 30281.55
48 32865.16 30170.50
49 32840.04 30214.98
50 32713.04 30199.47
51 32636.40 30004.01
52 32574.83 29988.28
53 32481.20 30089.27
54 32409.17 29954.89
55 32346.15 29931.69
56 32292.46 30095.49
57 32235.83 29879.47
58 32170.85 29844.51
59 32092.00 29791.58
60 32034.13 29789.32
61 31989.76 29786.23
62 31886.94 29676.66
63 31845.90 29664.88
64 31765.88 29599.53
65 31750.56 29554.85
66 31673.59 29629.54
67 31630.29 29727.83
68 31529.51 29846.26
69 31513.35 29511.70
70 31433.44 29522.93
71 31394.90 29526.99
72 31319.72 29511.47
73 31280.08 29475.49
74 31211.87 29504.33
75 31197.28 29398.71
76 31127.34 29595.14
77 31067.90 29318.78
78 31027.04 29501.46
79 30977.25 29400.33
80 30936.25 29375.60
81 30888.03 29611.19
82 30844.37 29365.66
83 30779.23 29374.37
84 30729.21 29331.59
85 30663.61 29388.18
86 30628.99 29399.77
87 30573.82 29439.83
88 30527.78 29541.60
89 30250.73 29163.68
90 30189.11 29177.83
91 30179.96 29191.33
92 30133.70 29159.21
93 30124.41 29130.43
94 30094.60 29135.17
95 30042.04 29136.42
96 30055.72 29115.94
97 30077.04 29135.67
98 30067.41 29101.85
99 30019.33 29101.25
100 30011.66 29112.19
101 30018.50 29141.66
102 29990.83 29093.69
103 29989.83 29123.11
104 29977.52 29104.33
105 29959.13 29073.48
106 29980.64 29112.11
107 29912.11 29098.45
108 29921.52 29088.43
109 29941.23 29112.65
110 29904.63 29092.30
111 29911.39 29063.35
112 29863.27 29089.23
113 29866.66 29097.43
114 29874.74 29094.04
115 29870.68 29095.19
116 29874.68 29075.08
117 29824.16 29085.98
118 29858.88 29082.12
119 29802.39 29103.45
120 29795.37 29109.51
121 29808.58 29063.79
122 29804.26 29084.44
123 29741.06 29062.37
124 29753.43 29069.52
125 29762.61 29064.50
126 29735.84 29061.09
127 29717.47 29066.49
128 29748.10 29066.68
129 29747.40 29063.28
130 29745.34 29062.19
131 29766.42 29061.46
132 29731.67 29068.71
133 29728.11 29066.40
134 29752.57 29066.86
135 29746.52 29065.36
136 29765.27 29065.47
137 29735.20 29066.71
138 29725.00 29067.27
139 29741.02 29066.23
140 29728.13 29066.11
141 29706.13 29066.34
142 29739.14 29067.47
143 29728.43 29067.08
144 29747.42 29066.78
145 29747.84 29067.59
146 29735.97 29068.28
147 29737.12 29068.60
148 29759.49 29067.62
149 29727.75 29067.59
150 29762.33 29066.74
151 29727.79 29067.05
152 29740.13 29068.56
153 29733.70 29068.05
154 29725.28 29067.39
155 29740.39 29068.39
