epoch training validation
0 5.19 4.82
1 4.73 4.63
2 4.61 4.56
3 4.55 4.51
4 4.51 4.48
5 4.49 4.47
6 4.48 4.47
7 4.48 4.46
8 4.47 4.46
9 4.47 4.46
10 4.46 4.46
11 4.46 4.46
12 4.46 4.45
13 4.46 4.45
14 4.46 4.45
15 4.46 4.45
16 4.46 4.45
17 4.45 4.45
18 4.45 4.45
19 4.45 4.45
20 4.45 4.45
21 4.45 4.44
22 4.45 4.45
23 4.45 4.44
24 4.45 4.44
25 4.45 4.44
26 4.44 4.44
27 4.44 4.44
28 4.44 4.43
29 4.43 4.42
30 4.42 4.40
31 4.41 4.38
32 4.40 4.38
33 4.39 4.37
34 4.39 4.36
35 4.38 4.36
36 4.38 4.35
37 4.38 4.35
38 4.37 4.35
39 4.37 4.35
40 4.37 4.34
41 4.37 4.34
42 4.37 4.34
43 4.36 4.34
44 4.36 4.34
45 4.36 4.34
46 4.36 4.34
47 4.36 4.34
48 4.36 4.34
49 4.36 4.34
50 4.36 4.33
51 4.36 4.33
52 4.36 4.33
53 4.35 4.33
54 4.35 4.33
55 4.35 4.33
56 4.35 4.33
57 4.35 4.33
58 4.35 4.33
59 4.35 4.33
60 4.35 4.33
61 4.35 4.33
62 4.35 4.33
63 4.35 4.33
64 4.35 4.33
65 4.35 4.33
66 4.35 4.33
67 4.35 4.33
68 4.35 4.33
69 4.35 4.33
70 4.34 4.33
71 4.34 4.33
72 4.34 4.33
73 4.34 4.33
74 4.34 4.33
75 4.34 4.32
76 4.34 4.32
77 4.34 4.32
78 4.34 4.32
79 4.34 4.32
80 4.34 4.32
