epoch training validation
0 6.9056 6.8692
1 6.0889 5.6595
2 5.5672 5.4016
3 5.4293 5.2969
4 5.3592 5.2275
5 5.3035 5.1780
6 5.2690 5.1531
7 5.2445 5.1281
8 5.2243 5.1109
9 5.2079 5.0865
10 5.1935 5.0777
11 5.1822 5.0621
12 5.1717 5.0546
13 5.1630 5.0445
14 5.1547 5.0371
15 5.1454 5.0255
16 5.1381 5.0196
17 5.1321 5.0116
18 5.1261 5.0071
19 5.1214 5.0019
20 5.1171 4.9953
21 5.1135 4.9944
22 5.1095 4.9871
23 5.1061 4.9841
24 5.1019 4.9807
25 5.0992 4.9759
26 5.0947 4.9721
27 5.0915 4.9720
28 5.0880 4.9672
29 5.0863 4.9638
30 5.0836 4.9614
31 5.0822 4.9595
32 5.0795 4.9569
33 5.0778 4.9549
34 5.0761 4.9538
35 5.0734 4.9515
36 5.0719 4.9508
37 5.0707 4.9513
38 5.0692 4.9451
39 5.0677 4.9445
40 5.0653 4.9467
41 5.0652 4.9448
42 5.0634 4.9415
43 5.0618 4.9392
44 5.0611 4.9402
45 5.0597 4.9391
46 5.0586 4.9374
47 5.0568 4.9359
48 5.0559 4.9360
49 5.0554 4.9342
50 5.0534 4.9313
51 5.0519 4.9319
52 5.0507 4.9339
53 5.0494 4.9290
54 5.0486 4.9264
55 5.0471 4.9249
56 5.0453 4.9243
57 5.0452 4.9214
58 5.0436 4.9218
59 5.0432 4.9199
60 5.0423 4.9189
61 5.0401 4.9211
62 5.0401 4.9159
63 5.0394 4.9176
64 5.0389 4.9208
65 5.0375 4.9163
66 5.0371 4.9177
67 5.0367 4.9144
68 5.0354 4.9123
69 5.0357 4.9127
70 5.0350 4.9118
71 5.0341 4.9108
72 5.0331 4.9121
73 5.0321 4.9097
74 5.0326 4.9087
75 5.0313 4.9123
76 5.0304 4.9112
77 5.0305 4.9083
78 5.0304 4.9078
79 5.0298 4.9090
80 5.0283 4.9043
81 5.0279 4.9068
82 5.0278 4.9052
83 5.0276 4.9065
84 5.0262 4.9045
85 5.0258 4.9054
86 5.0256 4.9025
87 5.0249 4.9020
88 5.0248 4.9034
89 5.0247 4.9017
90 5.0249 4.9003
91 5.0234 4.9001
92 5.0227 4.9004
93 5.0222 4.8998
94 5.0223 4.9003
95 5.0218 4.8994
96 5.0212 4.9010
97 5.0211 4.8983
98 5.0203 4.8972
99 5.0201 4.8978
100 5.0192 4.8967
101 5.0192 4.8956
102 5.0184 4.8954
103 5.0186 4.8940
104 5.0176 4.8945
105 5.0175 4.8922
106 5.0168 4.8949
107 5.0169 4.8941
108 5.0163 4.8968
109 5.0159 4.8929
110 5.0161 4.8934
111 5.0151 4.8923
112 5.0146 4.8919
113 5.0146 4.8939
114 5.0144 4.8911
115 5.0138 4.8963
116 5.0134 4.8900
117 5.0137 4.8912
118 5.0130 4.8902
119 5.0125 4.8898
