epoch training validation
0 63203.93 48535.67
1 49368.07 44181.66
2 45987.31 41763.31
3 44085.64 39929.23
4 42759.97 38893.15
5 41857.15 38519.39
6 41178.93 37498.02
7 40552.00 37196.84
8 40039.29 36471.08
9 39608.15 36010.03
10 39174.77 35629.98
11 38786.37 35355.48
12 38489.52 34884.82
13 38196.25 34611.06
14 37877.83 34341.78
15 37600.45 34247.62
16 37335.99 33941.21
17 37091.67 33890.06
18 36867.60 33789.81
19 36651.79 33441.01
20 36444.70 33090.79
21 36235.96 32540.77
22 36054.86 32593.69
23 35887.29 32217.27
24 35682.58 32193.97
25 35551.78 32020.53
26 35348.13 32502.93
27 35204.36 31775.65
28 35024.62 31544.04
29 34904.56 31414.23
30 34781.29 31251.51
31 34642.02 31172.93
32 34485.35 31050.09
33 34397.82 30921.02
34 34276.36 30843.07
35 34117.42 30947.78
36 34032.06 30653.31
37 33947.11 30740.96
38 33822.43 30597.11
39 33714.83 30541.86
40 33601.29 30516.27
41 33474.03 30324.22
42 33427.28 30310.79
43 33340.54 30346.83
44 33245.28 30251.95
45 33153.72 29923.69
46 33053.52 29978.50
47 32983.40 30064.27
48 32899.01 29771.38
49 32898.55 30243.24
50 32758.67 30130.56
51 32673.59 29797.71
52 32607.10 29833.57
53 32554.74 29711.34
54 32456.43 29795.35
55 32404.62 29972.19
56 32364.45 29613.83
57 32285.08 29550.17
58 32192.30 29345.67
59 32142.53 29655.44
60 32058.60 29737.87
61 32045.38 29495.66
62 31962.53 29508.19
63 31897.44 29595.75
64 31853.45 29497.91
65 31807.07 29333.46
66 31729.45 29512.63
67 31678.74 29528.84
68 31620.77 29489.19
69 31575.09 29376.87
70 31480.66 29264.66
71 31467.09 29599.93
72 31348.05 29161.48
73 31332.51 29295.90
74 31277.10 29267.22
75 31217.85 29080.54
76 31214.80 29577.24
77 31107.43 29167.78
78 31109.11 29479.30
79 31040.89 29097.13
80 30979.81 29267.09
81 30931.85 29260.15
82 30908.19 29024.21
83 30857.44 29012.20
84 30792.99 29237.37
85 30760.93 29298.52
86 30710.37 29211.98
87 30645.97 29289.01
88 30603.48 29334.60
89 30576.77 29061.31
90 30517.82 29366.86
91 30504.34 29188.46
92 30418.92 29207.45
93 30426.55 29330.20
94 30361.27 29044.24
95 30047.02 28859.20
96 29984.15 28839.69
97 29998.72 28845.37
98 29983.41 28839.25
99 29948.49 28833.77
100 29913.17 28828.78
101 29878.83 28852.21
102 29905.14 28813.78
103 29902.29 28822.10
104 29853.62 28813.86
105 29830.04 28788.41
106 29837.45 28808.94
107 29830.21 28842.27
108 29819.50 28809.29
109 29823.45 28792.82
110 29781.42 28814.83
111 29780.03 28799.51
112 29759.99 28802.78
113 29792.09 28796.12
114 29772.56 28808.63
115 29750.40 28813.76
116 29747.82 28780.50
117 29710.45 28790.12
118 29708.75 28795.52
119 29671.70 28812.55
120 29679.01 28801.79
121 29694.80 28766.68
122 29692.39 28807.82
123 29643.03 28794.05
124 29638.33 28794.23
125 29627.77 28790.39
126 29644.58 28779.51
127 29646.81 28794.89
128 29612.24 28794.39
129 29627.72 28799.76
130 29607.40 28805.90
131 29602.20 28788.86
132 29588.52 28817.48
133 29540.48 28752.02
134 29593.11 28754.68
135 29536.94 28760.72
136 29564.99 28760.30
137 29551.94 28760.84
138 29569.90 28759.07
139 29540.49 28761.42
140 29535.55 28760.55
141 29535.64 28759.23
142 29533.59 28758.22
143 29534.19 28758.66
144 29531.78 28756.51
145 29556.20 28759.76
146 29535.14 28761.44
147 29542.97 28762.79
