epoch training validation
0 1.8985 1.8882
1 0.4399 0.3277
2 0.3051 0.2915
3 0.2819 0.2740
4 0.2683 0.2617
5 0.2565 0.2501
6 0.2447 0.2397
7 0.2347 0.2294
8 0.2266 0.2239
9 0.2196 0.2150
10 0.2132 0.2111
11 0.2080 0.2082
12 0.2029 0.2023
13 0.1973 0.1954
14 0.1900 0.1869
15 0.1837 0.1803
16 0.1775 0.1734
17 0.1712 0.1666
18 0.1658 0.1622
19 0.1613 0.1602
20 0.1574 0.1550
21 0.1539 0.1533
22 0.1510 0.1488
23 0.1483 0.1464
24 0.1459 0.1444
25 0.1438 0.1422
26 0.1417 0.1402
27 0.1398 0.1389
28 0.1380 0.1366
29 0.1363 0.1363
30 0.1349 0.1330
31 0.1332 0.1322
32 0.1319 0.1311
33 0.1305 0.1293
34 0.1292 0.1296
35 0.1279 0.1275
36 0.1267 0.1259
37 0.1257 0.1249
38 0.1246 0.1236
39 0.1235 0.1236
40 0.1225 0.1207
41 0.1214 0.1211
42 0.1205 0.1198
43 0.1197 0.1191
44 0.1188 0.1173
45 0.1179 0.1173
46 0.1170 0.1166
47 0.1162 0.1153
48 0.1154 0.1142
49 0.1145 0.1144
50 0.1138 0.1132
51 0.1131 0.1137
52 0.1124 0.1163
53 0.1118 0.1112
54 0.1110 0.1110
55 0.1104 0.1093
56 0.1098 0.1096
57 0.1092 0.1084
58 0.1084 0.1077
59 0.1080 0.1071
60 0.1073 0.1071
61 0.1068 0.1063
62 0.1062 0.1065
63 0.1056 0.1054
64 0.1051 0.1042
65 0.1046 0.1047
66 0.1041 0.1033
67 0.1037 0.1025
68 0.1031 0.1027
69 0.1027 0.1025
70 0.1022 0.1011
71 0.1016 0.1014
72 0.1012 0.1004
73 0.1007 0.0997
74 0.1003 0.0995
75 0.0998 0.0994
76 0.0994 0.0994
77 0.0989 0.0989
78 0.0983 0.0988
79 0.0980 0.0979
80 0.0976 0.0964
81 0.0972 0.0961
82 0.0967 0.0966
83 0.0963 0.0957
84 0.0959 0.0954
85 0.0956 0.0948
86 0.0951 0.0949
87 0.0947 0.0943
88 0.0943 0.0941
89 0.0940 0.0937
90 0.0935 0.0932
91 0.0932 0.0925
92 0.0928 0.0923
93 0.0924 0.0917
94 0.0921 0.0921
95 0.0917 0.0914
96 0.0914 0.0914
97 0.0910 0.0913
98 0.0907 0.0902
99 0.0903 0.0899
