epoch training validation
0 1.9361 1.8882
1 0.3540 0.2770
2 0.2673 0.2467
3 0.2365 0.2193
4 0.2126 0.1880
5 0.1924 0.1672
6 0.1762 0.1525
7 0.1642 0.1424
8 0.1553 0.1357
9 0.1485 0.1276
10 0.1431 0.1252
11 0.1387 0.1226
12 0.1351 0.1179
13 0.1321 0.1233
14 0.1294 0.1125
15 0.1271 0.1104
16 0.1253 0.1092
17 0.1231 0.1088
18 0.1213 0.1040
19 0.1198 0.1038
20 0.1187 0.1024
21 0.1168 0.1018
22 0.1156 0.1023
23 0.1145 0.1016
24 0.1135 0.0984
25 0.1124 0.0967
26 0.1115 0.0964
27 0.1106 0.0961
28 0.1097 0.0965
29 0.1088 0.0930
30 0.1080 0.0926
31 0.1070 0.0925
32 0.1064 0.0908
33 0.1053 0.0903
34 0.1048 0.0901
35 0.1038 0.0895
36 0.1032 0.0881
37 0.1028 0.0881
38 0.1022 0.0878
39 0.1015 0.0871
40 0.1011 0.0861
41 0.1004 0.0859
42 0.1000 0.0851
43 0.0995 0.0849
44 0.0991 0.0851
45 0.0986 0.0844
46 0.0982 0.0839
47 0.0978 0.0837
48 0.0973 0.0827
49 0.0969 0.0833
50 0.0966 0.0821
51 0.0961 0.0832
52 0.0958 0.0832
53 0.0955 0.0810
54 0.0952 0.0804
55 0.0947 0.0811
56 0.0946 0.0809
57 0.0942 0.0801
58 0.0938 0.0799
59 0.0936 0.0792
60 0.0933 0.0804
61 0.0931 0.0788
62 0.0927 0.0789
63 0.0924 0.0787
64 0.0921 0.0786
65 0.0919 0.0783
66 0.0916 0.0775
67 0.0915 0.0775
68 0.0912 0.0768
69 0.0909 0.0772
70 0.0908 0.0767
71 0.0903 0.0769
72 0.0903 0.0772
73 0.0900 0.0757
74 0.0898 0.0760
75 0.0895 0.0766
76 0.0894 0.0759
77 0.0891 0.0752
78 0.0888 0.0762
79 0.0887 0.0750
80 0.0888 0.0746
81 0.0884 0.0744
82 0.0881 0.0743
83 0.0880 0.0742
84 0.0878 0.0742
85 0.0877 0.0733
86 0.0874 0.0738
87 0.0872 0.0741
88 0.0881 0.0735
89 0.0869 0.0738
90 0.0867 0.0725
91 0.0867 0.0730
92 0.0866 0.0733
93 0.0864 0.0725
94 0.0862 0.0731
95 0.0860 0.0727
96 0.0858 0.0723
97 0.0858 0.0723
98 0.0856 0.0717
99 0.0854 0.0720
